,pidSzn,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,MIN,GP,Season,PFD,DRIVE_PF,DRIVE_PF_PCT,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
137,203901_2014-15,0.0,0.0,0.0,30.7,82,2014-15,2.6,0.6,0.043,2.22,1.15,1.07,4.4,4.7,4.12
138,202407_2014-15,0.0,0.0,0.0,19.9,47,2014-15,1.5,0.3,0.073,1.38,0.75,0.64,4.25,4.42,4.07
139,202343_2014-15,0.0,0.0,0.0,9.3,13,2014-15,0.4,0.1,0.071,0.66,0.36,0.31,4.34,4.41,4.27
140,1882_2014-15,0.0,0.0,0.0,13.7,36,2014-15,1.0,0.0,0.1,0.9,0.48,0.42,3.99,4.2,3.78
141,202683_2014-15,0.0,0.0,0.0,28.9,75,2014-15,2.6,0.1,0.104,1.97,1.06,0.9,4.18,4.47,3.88
142,202339_2014-15,0.0,0.0,0.0,35.0,81,2014-15,4.8,1.0,0.075,2.36,1.26,1.11,4.1,4.5,3.73
143,201569_2014-15,0.0,0.0,0.0,33.5,61,2014-15,2.0,0.5,0.065,2.26,1.27,0.98,4.1,4.55,3.63
144,203961_2014-15,0.0,0.0,0.0,0.7,3,2014-15,0.0,0.0,0.0,0.05,0.03,0.02,5.88,6.81,5.18
145,203475_2014-15,0.0,0.0,0.0,9.7,43,2014-15,0.4,0.0,0.026,0.69,0.36,0.34,4.37,4.48,4.22
146,101141_2014-15,0.0,0.0,0.0,23.0,58,2014-15,2.8,0.2,0.129,1.54,0.79,0.75,4.04,4.36,3.76
147,203095_2014-15,0.0,0.0,0.0,29.0,58,2014-15,2.2,0.5,0.071,2.07,1.11,0.96,4.34,4.73,3.98
148,202323_2014-15,0.0,0.0,0.0,27.9,82,2014-15,1.6,0.3,0.043,1.91,1.01,0.9,4.18,4.57,3.82
149,203105_2014-15,0.0,0.0,0.0,11.1,46,2014-15,1.4,0.0,0.5,0.78,0.41,0.37,4.19,4.48,3.91
150,101128_2014-15,0.0,0.0,0.0,14.5,14,2014-15,0.7,0.1,0.032,0.98,0.52,0.46,4.14,4.34,3.94
151,203128_2014-15,0.0,0.0,0.0,13.4,41,2014-15,0.9,0.0,0.143,0.95,0.5,0.45,4.33,4.47,4.17
152,203539_2014-15,0.0,0.0,0.0,11.0,4,2014-15,0.3,0.0,0.0,0.78,0.46,0.32,4.29,4.73,3.8
153,202066_2014-15,0.0,0.0,0.0,14.3,52,2014-15,1.0,0.1,0.106,1.03,0.53,0.5,4.35,4.6,4.11
154,203914_2014-15,0.0,0.0,0.0,13.2,55,2014-15,0.8,0.2,0.097,0.96,0.49,0.47,4.41,4.53,4.29
155,202390_2014-15,0.0,0.0,0.0,22.4,54,2014-15,1.9,0.4,0.09,1.52,0.85,0.66,4.12,4.54,3.7
156,201588_2014-15,0.0,0.0,0.0,29.9,43,2014-15,3.5,0.4,0.045,2.04,1.12,0.92,4.15,4.46,3.84
157,101123_2014-15,0.0,0.0,0.0,19.8,74,2014-15,1.5,0.2,0.078,1.37,0.7,0.67,4.21,4.43,4.0
158,201945_2014-15,0.0,0.0,0.0,29.3,80,2014-15,2.8,0.4,0.087,2.11,1.15,0.95,4.38,4.73,4.01
159,2222_2014-15,0.0,0.0,0.0,9.1,32,2014-15,0.7,0.0,0.111,0.62,0.32,0.3,4.16,4.43,3.9
