,pidSzn,MIN,GP,Season,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,AVG_OREB_DIST,AVG_DREB_DIST,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
69,202718_2014-15,33.1,66,2014-15,0.4,0.547,3.6,0.272,0.2,1.0,3.0,0.251,7.0,0.564,0.4,9.9,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,101112_2014-15,24.9,75,2014-15,0.1,0.556,0.8,0.466,0.0,1.5,2.1,0.414,6.2,0.57,0.5,9.9,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,101111_2014-15,10.6,64,2014-15,0.2,0.533,1.1,0.435,0.0,0.6,1.2,0.336,2.9,0.633,0.2,7.2,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,201978_2014-15,19.4,66,2014-15,0.2,0.545,1.6,0.306,0.0,0.6,1.8,0.256,4.2,0.594,0.3,8.9,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2365_2014-15,18.7,59,2014-15,0.3,0.703,3.6,0.347,0.1,1.7,1.9,0.461,6.9,0.529,0.7,5.2,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2547_2014-15,35.4,44,2014-15,0.3,0.587,2.9,0.362,0.1,2.2,3.8,0.36,10.2,0.588,0.8,9.8,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,203142_2014-15,16.6,50,2014-15,0.1,0.739,1.8,0.258,0.0,0.4,1.4,0.216,3.0,0.591,0.3,7.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,201604_2014-15,8.5,12,2014-15,0.1,0.0,0.6,0.143,0.0,0.3,0.6,0.364,1.1,0.846,0.0,20.9,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,203187_2014-15,18.2,29,2014-15,0.2,0.375,1.2,0.229,0.0,0.5,1.1,0.298,3.4,0.48,0.4,5.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2549_2014-15,18.9,74,2014-15,0.6,0.705,4.5,0.446,0.1,2.2,2.3,0.484,7.6,0.593,0.5,5.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,101108_2014-15,34.8,82,2014-15,0.4,0.404,2.5,0.252,0.1,0.7,3.3,0.185,7.2,0.55,0.5,15.7,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,101236_2014-15,8.8,29,2014-15,0.2,0.611,1.8,0.346,0.1,0.7,0.5,0.576,2.7,0.429,0.3,5.2,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,203921_2014-15,16.6,39,2014-15,0.2,0.591,1.8,0.314,0.1,0.6,1.3,0.333,3.9,0.49,0.6,12.3,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,203991_2014-15,7.5,12,2014-15,0.2,0.7,1.9,0.435,0.1,1.4,0.8,0.654,3.4,0.634,0.4,6.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,203469_2014-15,24.0,62,2014-15,0.6,0.567,4.6,0.338,0.1,1.5,2.8,0.351,7.9,0.544,0.7,6.5,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,202332_2014-15,16.0,60,2014-15,0.6,0.64,3.9,0.429,0.1,1.6,2.3,0.406,6.3,0.621,0.5,6.2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,201147_2014-15,26.1,79,2014-15,0.5,0.513,3.0,0.336,0.1,0.7,2.1,0.244,5.0,0.543,0.4,9.5,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,203928_2014-15,10.6,50,2014-15,0.3,0.723,2.2,0.435,0.0,0.5,1.4,0.265,3.5,0.563,0.2,6.5,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,202709_2014-15,18.3,79,2014-15,0.3,0.523,2.0,0.28,0.1,0.5,1.4,0.243,3.4,0.552,0.3,11.7,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,201584_2014-15,30.6,77,2014-15,0.2,0.286,1.2,0.226,0.0,0.3,1.7,0.159,3.8,0.53,0.2,12.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,201571_2014-15,23.9,82,2014-15,0.2,0.35,1.5,0.167,0.1,0.2,1.6,0.092,3.0,0.566,0.2,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2563_2014-15,3.7,33,2014-15,0.0,0.0,0.2,0.143,0.0,0.2,0.2,0.5,0.4,0.769,0.0,1.4,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,203081_2014-15,35.7,82,2014-15,0.4,0.306,2.8,0.211,0.1,0.6,3.4,0.149,7.5,0.538,0.6,14.6,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,204014_2014-15,15.4,68,2014-15,0.1,0.25,0.6,0.195,0.0,0.2,0.4,0.282,1.3,0.453,0.1,13.7,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,201568_2014-15,24.2,59,2014-15,0.3,0.516,2.2,0.242,0.1,0.6,2.6,0.187,5.7,0.56,0.4,9.9,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,101122_2014-15,20.4,29,2014-15,0.2,0.75,2.1,0.323,0.1,0.6,1.3,0.34,4.3,0.427,0.6,12.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,201980_2014-15,28.5,81,2014-15,0.4,0.389,2.0,0.338,0.2,1.1,2.4,0.311,6.9,0.515,0.5,13.3,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,201967_2014-15,25.0,66,2014-15,0.5,0.486,3.2,0.327,0.2,0.8,2.0,0.28,5.2,0.541,0.3,9.3,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,203957_2014-15,22.2,82,2014-15,0.3,0.185,1.0,0.329,0.0,0.2,1.1,0.135,2.8,0.45,0.2,16.7,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,203121_2014-15,8.7,5,2014-15,0.0,0.0,0.2,0.0,0.0,0.2,0.0,1.0,1.0,0.2,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,202721_2014-15,7.9,38,2014-15,0.1,0.571,0.7,0.269,0.0,0.1,0.5,0.15,1.1,0.5,0.1,15.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,201589_2014-15,17.0,58,2014-15,0.4,0.585,1.9,0.477,0.0,0.9,1.2,0.424,4.7,0.429,0.5,7.8,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,201954_2014-15,34.8,45,2014-15,0.3,0.211,2.2,0.192,0.1,0.3,2.4,0.113,5.4,0.508,0.5,17.3,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,101135_2014-15,18.5,49,2014-15,0.6,0.63,4.0,0.415,0.1,1.5,2.0,0.426,5.7,0.626,0.4,6.7,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,204065_2014-15,11.0,3,2014-15,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,2.3,0.286,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,204033_2014-15,3.5,2,2014-15,0.5,0.5,2.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2561_2014-15,28.7,66,2014-15,0.5,0.676,3.5,0.462,0.1,1.5,3.6,0.299,8.4,0.612,0.5,7.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,201599_2014-15,34.4,82,2014-15,1.3,0.708,9.1,0.534,0.1,3.3,6.7,0.326,14.2,0.713,0.9,5.3,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,201971_2014-15,6.2,29,2014-15,0.1,0.875,1.8,0.308,0.0,0.6,0.8,0.4,2.2,0.615,0.3,4.3,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,201942_2014-15,35.0,60,2014-15,0.4,0.366,2.6,0.259,0.1,0.9,3.0,0.237,6.2,0.634,0.5,14.8,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,202326_2014-15,34.1,59,2014-15,0.6,0.746,7.6,0.412,0.1,3.9,5.6,0.411,14.2,0.671,0.8,5.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,201960_2014-15,31.3,70,2014-15,0.6,0.566,3.8,0.375,0.2,0.7,3.2,0.179,6.3,0.619,0.6,9.3,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,203471_2014-15,19.7,77,2014-15,0.2,0.414,1.8,0.215,0.1,0.2,1.6,0.111,3.6,0.491,0.3,14.2,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,101114_2014-15,31.1,68,2014-15,0.3,0.414,1.9,0.22,0.1,0.4,2.7,0.115,5.9,0.52,0.5,13.9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,202324_2014-15,30.8,74,2014-15,0.5,0.811,5.9,0.453,0.2,2.7,2.9,0.487,9.7,0.572,0.7,5.6,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,201565_2014-15,30.0,51,2014-15,0.3,0.571,3.2,0.215,0.2,0.3,2.2,0.111,5.1,0.486,0.3,10.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,202682_2014-15,19.8,74,2014-15,0.2,0.561,1.6,0.336,0.1,0.5,1.7,0.217,3.4,0.647,0.3,8.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
