,pidSzn,SCREEN_ASSISTS,SCREEN_AST_PTS,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCHES,POST_TOUCH_PASSES,POST_TOUCH_PASSES_PCT,POST_TOUCH_AST,POST_TOUCH_AST_PCT,POST_TOUCH_TOV,POST_TOUCH_TOV_PCT,POST_TOUCHES,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCHES,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_TO_PASS_PCT,PASSES_MADE,PASSES_RECEIVED,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,MIN,GP,Season,AST_PCT,AST_TO,AST_RATIO,TOV
32,203462_2014-15,0.0,0.0,0.2,0.22,0.0,0.0,0.1,0.073,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.143,0.0,0.071,0.3,1.1,0.1,0.1,2.5,0.059,18.3,19.8,1.3,0.342,0.2,0.051,0.3,0.076,25.8,13.3,1.6,3.69,3.07,13.0,41,2014-15,0.149,0.92,13.4,1.2
33,202620_2014-15,0.0,0.0,1.0,0.273,0.3,0.091,0.2,0.045,3.7,0.2,0.2,0.0,0.0,0.0,0.0,0.8,0.7,0.571,0.2,0.25,0.0,0.0,1.2,0.7,0.0,0.0,1.0,0.083,8.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,11.5,6.7,0.3,1.67,0.42,11.4,6,2014-15,0.089,2.0,16.7,0.3
34,203382_2014-15,0.0,0.0,1.1,0.236,0.2,0.039,0.4,0.078,4.8,0.3,0.304,0.1,0.072,0.1,0.072,1.0,1.1,0.547,0.1,0.093,0.1,0.051,2.0,0.5,0.1,0.1,1.2,0.035,14.4,11.8,0.1,0.2,0.0,0.08,0.0,0.08,20.9,13.0,0.5,1.46,0.33,16.0,70,2014-15,0.049,0.54,7.4,0.9
35,201167_2014-15,0.0,0.0,0.2,0.266,0.1,0.063,0.1,0.094,0.8,0.7,0.304,0.1,0.042,0.2,0.068,2.4,0.3,0.351,0.1,0.222,0.0,0.039,1.0,1.7,0.2,0.5,4.1,0.072,23.0,30.1,1.4,0.365,0.2,0.061,0.3,0.068,37.4,27.9,1.6,2.59,1.86,32.1,78,2014-15,0.079,1.11,10.7,1.5
36,201948_2014-15,0.0,0.0,0.1,0.25,0.0,0.0,0.1,0.167,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.1,0.333,0.1,0.5,0.0,0.0,0.4,0.5,0.1,0.1,0.9,0.04,12.4,11.2,0.3,0.227,0.1,0.045,0.1,0.114,17.5,11.7,0.5,1.8,0.82,10.1,34,2014-15,0.083,0.74,9.2,0.7
37,203085_2014-15,0.0,0.0,0.3,0.415,0.1,0.094,0.0,0.038,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.607,0.0,0.176,0.0,0.0,0.4,2.0,0.1,0.1,4.5,0.083,24.6,29.0,1.6,0.28,0.6,0.102,0.3,0.052,33.9,15.1,2.9,5.09,5.02,20.6,76,2014-15,0.157,2.38,20.1,0.9
38,202340_2014-15,0.0,0.0,0.4,0.276,0.0,0.017,0.0,0.017,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.351,0.0,0.075,0.1,0.044,1.5,1.8,0.2,0.3,3.8,0.078,22.6,32.5,0.3,0.19,0.1,0.073,0.2,0.109,38.7,29.4,1.4,2.15,1.83,31.5,77,2014-15,0.087,1.24,10.4,1.4
39,2732_2014-15,0.0,0.0,0.1,0.3,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.286,0.0,0.25,0.0,0.0,0.3,0.9,0.1,0.2,1.9,0.094,9.5,14.6,0.6,0.225,0.2,0.066,0.3,0.113,17.4,13.4,1.0,3.29,2.74,14.1,56,2014-15,0.111,0.91,11.6,1.0
40,203463_2014-15,0.0,0.0,0.3,0.245,0.1,0.057,0.0,0.028,1.3,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.3,0.36,0.1,0.296,0.0,0.053,0.9,1.7,0.3,0.3,3.0,0.065,26.2,28.9,0.9,0.281,0.3,0.082,0.3,0.086,39.9,26.5,1.4,2.13,1.39,32.6,82,2014-15,0.082,1.01,11.9,1.7
41,2757_2014-15,0.0,0.0,0.3,0.344,0.1,0.115,0.1,0.066,0.8,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.3,0.545,0.1,0.292,0.0,0.023,0.6,2.8,0.3,0.6,6.3,0.075,37.0,40.2,1.7,0.389,0.5,0.112,0.3,0.066,47.1,17.9,3.8,4.83,4.98,18.9,79,2014-15,0.236,2.47,25.7,1.1
