,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,Season
1188,Lineups,-201143-1628977-1629026-1629647-1629676-,A. Horford - H. Diallo - K. Williams - D. Bazley - I. Roby,1610612760,OKC,1,0,1,0.0,16.0,119.3,120.0,103.6,105.9,15.8,14.1,0.611,2.75,21.6,0.333,0.765,0.563,0.114,0.576,0.597,107.5,106.04,88.37,35,0.61,5843,8619,4785,8619,1273,4488,7977,5223,5933,1429,3650,3574,6298,4438,8260,5287,5848,7454,4865,2020-21
1189,Lineups,-201143-1628382-1628977-1629026-1629647-,A. Horford - J. Jackson - H. Diallo - K. Williams - D. Bazley,1610612760,OKC,5,2,3,0.4,16.0,97.3,92.3,94.9,89.7,2.4,2.6,0.625,2.5,19.2,0.2,0.706,0.432,0.103,0.5,0.5,107.8,113.8,94.83,39,0.465,957,1417,13480,7676,1192,8470,5314,6146,5741,1549,5058,6536,7575,8933,7771,6391,8177,4671,7416,2020-21
1190,Lineups,-2738-201609-202340-1629639-1630173-,A. Iguodala - G. Dragic - A. Bradley - T. Herro - P. Achiuwa,1610612748,MIA,5,3,2,0.6,16.0,107.3,115.2,121.2,116.7,-13.9,-1.5,0.643,2.25,19.6,0.25,0.647,0.455,0.121,0.552,0.569,102.8,101.29,84.41,33,0.46,957,833,11786,5817,1200,5204,9116,7852,5612,1833,4958,5407,8911,8420,8437,5775,6503,9574,7500,2020-21
1191,Lineups,-2738-201609-1629130-1629639-1629735-,A. Iguodala - G. Dragic - D. Robinson - T. Herro - C. Silva,1610612748,MIA,3,3,0,1.0,16.0,95.9,93.9,83.4,85.3,12.5,8.6,0.636,1.17,16.7,0.143,0.773,0.528,0.182,0.56,0.589,98.2,98.1,81.75,33,0.566,1984,833,1,1,1196,8379,4888,5674,5654,4094,6062,7436,6229,5240,10682,5616,6020,10983,5605,2020-21
1192,Lineups,-2738-202710-1628389-1629134-1629639-,A. Iguodala - J. Butler - B. Adebayo - K. Nunn - T. Herro,1610612748,MIA,7,5,2,0.714,16.0,105.3,102.9,129.6,118.4,-24.3,-15.6,0.533,2.0,16.7,0.294,0.643,0.452,0.114,0.5,0.526,102.6,108.71,90.59,35,0.431,542,368,11786,5185,1226,6404,9415,8866,6800,1975,6062,4896,8926,8561,8260,6391,7537,6350,7974,2020-21
1193,Lineups,-203085-203210-203999-1627885-1628408-,A. Rivers - J. Green - N. Jokic - S. Harrison - P. Dozier,1610612743,DEN,6,4,2,0.667,16.0,84.2,81.8,85.0,85.7,-0.9,-3.9,0.6,1.5,14.0,0.222,0.706,0.457,0.121,0.357,0.434,103.7,104.67,87.23,33,0.483,714,534,11786,5252,1277,9397,4891,8000,5976,3363,8022,6303,7575,8393,8437,9866,9852,8071,7136,2020-21
1194,Lineups,-202687-1628370-1628970-1628984-1630163-,B. Biyombo - M. Monk - M. Bridges - D. Graham - L. Ball,1610612766,CHA,4,1,3,0.25,16.0,110.3,102.9,105.0,108.1,5.3,-5.3,0.75,1.29,20.5,0.0,0.733,0.407,0.2,0.652,0.702,104.2,106.07,88.39,35,0.471,1342,2859,13480,8342,1204,6404,8196,8088,3703,3938,4006,8034,7182,9484,10952,3870,3496,7446,7330,2020-21
1195,Lineups,-202687-1628370-1628970-1629667-1630163-,B. Biyombo - M. Monk - M. Bridges - J. McDaniels - L. Ball,1610612766,CHA,6,3,3,0.5,16.0,110.6,113.5,81.6,74.3,29.1,39.2,0.4,1.2,13.0,0.176,0.889,0.543,0.135,0.516,0.584,104.6,107.81,89.84,37,0.703,714,833,13480,6052,1232,5404,3902,3373,8963,4044,8253,7094,4626,4937,9010,6318,6095,6719,3710,2020-21
1196,Lineups,-202687-1626179-1628370-1628970-1629667-,B. Biyombo - T. Rozier - M. Monk - M. Bridges - J. McDaniels,1610612766,CHA,5,3,2,0.6,16.0,141.6,137.5,115.4,113.5,26.2,24.0,0.563,1.5,20.9,0.25,0.75,0.583,0.188,0.792,0.812,102.1,104.41,87.01,32,0.59,957,833,11786,5817,1245,2898,8811,4438,6586,3363,3888,5407,6379,3922,10825,2084,2158,8172,5209,2020-21
1197,Lineups,-201933-202681-203925-1628971-1629013-,B. Griffin - K. Irving - J. Harris - B. Brown - L. Shamet,1610612751,BKN,2,0,2,0.0,16.0,131.7,131.3,79.6,76.7,52.1,54.6,0.688,3.67,21.6,0.421,0.667,0.541,0.094,0.571,0.585,92.2,94.08,78.4,32,0.693,3207,8619,11786,8619,1251,3499,4190,2517,4540,695,3650,2845,7869,4973,7442,5325,6074,12290,3807,2020-21
