,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,Season
1885,Lineups,-203503-1630168-,T. Snell - O. Okongwu,1610612737,ATL,23,16,7,0.696,6.7,2.1,1.9,0.4,5.8,2.7,1.8,1.9,7.4,1457,960,2536,832,1891,3097,2877,4307,3214,2417,1955,2342,2410,2020-21
1886,Lineups,-201152-1627853-,T. Young - R. Arcidiacono,1610612741,CHI,28,14,14,0.5,6.7,2.2,1.5,1.2,7.5,1.6,1.7,1.2,6.1,1168,1113,3738,2032,1702,3001,3306,3465,2497,1192,1767,1452,1844,2020-21
1887,Lineups,-1629599-1629611-,A. Coffey - T. Mann,1610612746,LAC,44,32,12,0.727,6.6,1.9,2.1,1.3,5.4,2.0,1.8,1.7,5.9,515,205,3486,656,1202,3382,2524,3291,3358,1751,2003,2086,1827,2020-21
1888,Lineups,-1628988-1629103-,A. Holiday - K. Martin,1610612754,IND,22,9,13,0.409,6.6,3.0,2.8,3.9,7.9,2.2,2.3,1.7,6.4,1532,1654,3614,3007,1940,2063,1714,766,2359,1892,2659,2057,2075,2020-21
1889,Lineups,-1627732-1629680-,B. Simmons - M. Thybulle,1610612755,PHI,51,37,14,0.725,6.6,3.1,2.0,2.2,6.5,2.3,1.2,1.9,6.7,302,99,3738,680,1036,2024,2571,2074,2892,1983,1209,2324,2151,2020-21
1890,Lineups,-1627814-1630164-,D. Lee - J. Wiseman,1610612744,GSW,31,14,17,0.452,6.6,2.0,1.5,1.5,5.8,2.4,2.1,1.8,6.7,1036,1113,4113,2697,1586,3106,3303,3108,3241,2085,2400,2211,2149,2020-21
1891,Lineups,-1629726-1630166-,G. Mathews - D. Avdija,1610612764,WAS,30,15,15,0.5,6.6,2.2,1.1,1.0,6.7,2.1,1.7,1.5,7.3,1069,1034,3874,2032,1621,3006,3812,3605,2824,1758,1841,1773,2378,2020-21
1892,Lineups,-1626172-1627814-,K. Looney - D. Lee,1610612744,GSW,36,19,17,0.528,6.6,2.5,2.0,1.3,6.0,2.1,1.7,1.2,5.5,813,766,4113,1943,1407,2723,2571,3305,3161,1753,1780,1365,1672,2020-21
1893,Lineups,-201939-1629673-,S. Curry - J. Poole,1610612744,GSW,34,21,13,0.618,6.6,2.8,1.1,2.6,6.5,2.6,1.7,2.0,6.4,892,659,3614,1338,1482,2355,3800,1647,2899,2341,1773,2395,2070,2020-21
1894,Lineups,-202684-1628400-,T. Thompson - S. Ojeleye,1610612738,BOS,38,20,18,0.526,6.6,2.3,1.5,1.5,5.8,1.8,1.7,2.1,6.4,722,713,4220,1947,1362,2901,3402,2962,3216,1385,1762,2659,2051,2020-21
1895,Lineups,-201961-1628367-,W. Ellington - J. Jackson,1610612765,DET,28,5,23,0.179,6.6,2.0,1.6,1.6,6.5,3.0,1.9,1.3,7.7,1168,2414,4617,4290,1704,3106,3243,2955,2893,2696,2047,1533,2521,2020-21
1896,Lineups,-2738-203482-,A. Iguodala - K. Olynyk,1610612748,MIA,28,17,11,0.607,6.5,2.6,1.4,1.6,5.1,2.9,2.2,1.2,5.2,1168,901,3323,1393,1718,2562,3515,2855,3468,2603,2548,1386,1546,2020-21
1897,Lineups,-202687-1628998-,B. Biyombo - C. Martin,1610612766,CHA,35,18,17,0.514,6.5,2.5,1.9,2.2,7.0,2.5,1.2,1.7,5.4,859,830,4113,2006,1466,2706,2881,2106,2696,2156,1229,1982,1649,2020-21
1898,Lineups,-1628392-1628420-,I. Hartenstein - M. Morris,1610612743,DEN,23,12,11,0.522,6.5,4.2,2.5,1.3,6.3,2.2,1.8,1.5,4.6,1457,1268,3323,1973,1924,1156,2094,3306,2981,1885,1897,1725,1297,2020-21
1899,Lineups,-203944-1628373-,J. Randle - F. Ntilikina,1610612752,NYK,27,18,9,0.667,6.5,1.6,0.8,0.8,4.9,2.1,1.7,0.7,4.9,1217,830,2980,927,1757,3688,4222,3987,3587,1759,1850,865,1416,2020-21
1900,Lineups,-201976-1627826-,P. Beverley - I. Zubac,1610612746,LAC,33,21,12,0.636,6.5,2.1,1.9,1.2,5.0,2.3,1.3,1.7,5.8,935,659,3486,1228,1530,3102,2898,3450,3546,1996,1338,1985,1797,2020-21
1901,Lineups,-203648-1627854-,T. Antetokounmpo - B. Forbes,1610612749,MIL,44,30,14,0.682,6.5,2.3,1.9,1.7,5.0,2.6,1.7,1.2,6.2,515,251,3738,888,1215,2907,2828,2727,3556,2321,1854,1447,1988,2020-21
1902,Lineups,-203504-1630182-,T. Burke - J. Green,1610612742,DAL,32,16,16,0.5,6.5,2.5,1.7,1.9,6.4,2.1,2.2,2.1,7.5,986,960,4005,2032,1565,2732,3144,2477,2933,1756,2496,2679,2467,2020-21
1903,Lineups,-1626166-1629028-,C. Payne - D. Ayton,1610612756,PHX,55,37,18,0.673,6.4,2.0,1.6,1.9,6.3,2.6,2.2,1.6,7.0,207,99,4220,922,985,3105,3278,2472,2971,2348,2569,1910,2281,2020-21
1904,Lineups,-1629684-1630174-,G. Williams - A. Nesmith,1610612738,BOS,31,15,16,0.484,6.4,1.6,1.3,1.3,5.7,2.5,1.5,1.5,5.9,1036,1034,4005,2453,1630,3693,3648,3358,3269,2182,1640,1868,1831,2020-21
1905,Lineups,-1628973-1630182-,J. Brunson - J. Green,1610612742,DAL,29,15,14,0.517,6.4,2.3,1.9,1.5,6.1,1.5,2.4,1.7,5.8,1122,1034,3738,1996,1711,2860,2848,3112,3002,1054,2823,2066,1784,2020-21
1906,Lineups,-204060-1629671-,J. Ingles - M. Oni,1610612762,UTA,32,25,7,0.781,6.4,1.7,2.2,1.4,5.9,2.2,1.3,1.4,5.5,986,435,2536,457,1601,3564,2417,3197,3187,1863,1259,1647,1670,2020-21
1907,Lineups,-203493-1630193-,R. Bullock - I. Quickley,1610612752,NYK,40,23,17,0.575,6.4,2.5,1.5,1.1,6.0,1.9,1.6,1.1,5.5,653,538,4113,1617,1336,2696,3417,3587,3166,1479,1746,1328,1675,2020-21
1908,Lineups,-203524-1629629-,S. Hill - C. Reddish,1610612737,ATL,25,10,15,0.4,6.4,2.4,2.3,1.1,5.0,2.1,2.1,1.3,6.4,1343,1502,3874,3035,1854,2852,2353,3567,3548,1764,2409,1531,2053,2020-21
1909,Lineups,-203992-1630168-,B. Bogdanovic - O. Okongwu,1610612737,ATL,28,21,7,0.75,6.3,2.0,1.7,0.9,5.6,2.0,1.7,1.5,6.4,1168,659,2536,499,1759,3345,3052,3894,3301,1510,1862,1773,2038,2020-21
1910,Lineups,-1627732-1630178-,B. Simmons - T. Maxey,1610612755,PHI,26,18,8,0.692,6.3,2.3,1.4,2.6,6.1,1.8,1.4,2.5,7.0,1274,830,2781,845,1832,2897,3443,1613,3002,1370,1477,3087,2274,2020-21
1911,Lineups,-2730-201980-,D. Howard - D. Green,1610612755,PHI,51,32,19,0.627,6.3,1.7,1.8,1.1,6.0,2.7,1.7,2.5,6.5,302,205,4317,1284,1105,3533,3030,3585,3171,2409,1855,3156,2082,2020-21
1912,Lineups,-1628464-1629684-,D. Theis - G. Williams,1610612738,BOS,28,11,17,0.393,6.3,2.2,1.9,1.3,6.0,1.7,1.8,1.3,5.4,1168,1382,4113,3158,1753,2954,2881,3289,3162,1299,2010,1578,1600,2020-21
1913,Lineups,-203145-1630164-,K. Bazemore - J. Wiseman,1610612744,GSW,27,13,14,0.481,6.3,1.5,1.1,2.1,6.8,2.3,1.8,2.1,6.2,1217,1183,3738,2469,1804,3717,3805,2191,2765,1986,1898,2621,1991,2020-21
1914,Lineups,-1629011-1630193-,M. Robinson - I. Quickley,1610612752,NYK,23,10,13,0.435,6.3,2.3,2.2,1.1,6.6,2.2,1.6,1.2,4.9,1457,1502,3614,2832,1944,2866,2431,3555,2857,1930,1732,1453,1427,2020-21
