,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
76,T. Hansbrough | P. Patterson | T. Ross | G. Vásquez | L. Williams,TOR,2014-15,24,131.6,234,241,86.6,+3.3,+3.6,+.019,+7.1,+14.4,+.066,+.055,-0.2,0.0,-.008,+13.5
77,A. Aminu | T. Chandler | M. Ellis | C. Parsons | R. Rondo,DAL,2014-15,15,61.2,125,126,98.4,+3.4,-6.5,+.072,+0.9,-3.0,+.065,+.080,+5.7,+6.6,+.052,+13.4
78,T. Ariza | C. Brewer | T. Jones | J. Smith | J. Terry,HOU,2014-15,12,53.3,113,109,100.1,+2.5,-8.6,+.061,+7.7,+15.9,+.089,+.111,+0.4,+9.2,-.334,+13.2
79,Ö. Aşık | A. Davis | T. Evans | E. Gordon | J. Holiday,NOP,2014-15,13,171.4,327,335,92.7,+7.3,+9.7,+.032,+1.3,+1.3,+.056,+.036,-2.9,-1.5,-.069,+13.1
80,L. Aldridge | N. Batum | M. Leonard | D. Lillard | W. Matthews,POR,2014-15,10,48.6,106,99,101.3,+3.5,-7.8,+.077,+8.3,+9.0,+.232,+.130,-2.4,-1.7,-.038,+12.8
81,B. Beal | D. Gooden | M. Gortat | P. Pierce | J. Wall,WAS,2014-15,13,70.2,134,134,91.6,+5.2,0.0,+.055,+3.7,+7.5,+.067,+.074,-1.5,+1.5,-.157,+12.7
82,D. DeRozan | T. Hansbrough | K. Lowry | P. Patterson | T. Ross,TOR,2014-15,10,49.4,96,93,91.9,-4.4,+2.5,-.062,+2.9,+4.4,+.045,-0.047,+18.3,+15.8,+.223,+12.3
83,T. Chandler | M. Ellis | R. Jefferson | D. Nowitzki | R. Rondo,DAL,2014-15,14,121.4,248,244,97.3,+2.2,-6.7,+.061,-0.6,-8.1,+.126,+.062,+8.3,+9.0,+.063,+12.2
84,C. Andersen | M. Chalmers | L. Deng | D. Wade | S. Williams,MIA,2014-15,8,60.8,116,117,92.0,+4.7,-1.8,+.063,+4.4,+3.6,+.139,+.089,-1.6,+0.2,-.080,+12.1
85,B. Beal | M. Gortat | N. Hilário | O. Porter | J. Wall,WAS,2014-15,13,65.4,126,125,92.1,+1.3,-6.3,+.049,-0.1,-6.6,+.087,+.051,+9.5,+11.8,+.133,+11.9
86,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,
88,K. Irving | L. James | K. Love | J. Smith | T. Thompson,CLE,2014-15,28,87.2,166,161,90.0,-1.8,-0.4,-.018,+2.1,+9.5,-.054,-0.006,+13.4,+15.0,+.083,+11.9
89,L. Aldridge | N. Batum | D. Lillard | R. Lopez | W. Matthews,POR,2014-15,32,628.4,1223,1234,93.8,+2.1,-0.6,+.025,+2.8,+6.3,+.028,+.041,+5.0,+4.0,+.085,+11.8
