,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
2,C. Butler | K. Caldwell-Pope | R. Jackson | A. Tolliver,DET,2014-15,23,204.1,383,379,89.6,+5.8,+3.2,+.046,+7.5,+12.6,+.081,+.084,-3.6,-2.3,-.099,+15.6
3,T. Ariza | D. Motiejūnas | J. Smith | J. Terry,HOU,2014-15,27,100.2,193,194,92.7,+3.8,+5.1,+.017,+5.7,+13.6,+.024,+.045,+2.1,+1.6,+.058,+15.5
4,G. Henderson | M. Kidd-Gilchrist | B. Roberts | C. Zeller,CHO,2014-15,13,134.9,256,259,91.6,+5.9,+7.3,+.031,-3.1,-10.7,+.054,+.012,+6.8,+6.9,+.066,+15.5
5,D. DeRozan | P. Patterson | J. Valančiūnas | G. Vásquez,TOR,2014-15,34,113.5,223,218,93.3,+1.4,-2.4,+.028,+1.6,+2.1,+.033,+.039,+10.8,+4.3,+.250,+15.2
6,L. Barbosa | A. Iguodala | D. Lee | M. Speights,GSW,2014-15,19,130.6,263,267,97.4,+8.9,+6.6,+.068,-2.1,-6.5,+.039,+.051,-0.5,-1.2,+.024,+15.2
7,S. Adams | K. Durant | S. Ibaka | A. Roberson,OKC,2014-15,23,260.2,516,520,95.6,+4.0,+2.0,+.035,-0.9,+0.4,-.048,+.028,+8.0,+9.0,+.036,+15.1
8,M. Bonner | T. Duncan | D. Green | K. Leonard,SAS,2014-15,25,171.6,335,332,93.3,+4.7,-3.2,+.069,+3.5,+5.5,+.056,+.090,+2.0,+2.3,+.007,+15.0
9,L. Aldridge | N. Batum | M. Leonard | D. Lillard,POR,2014-15,18,117.2,239,233,96.7,+4.9,-3.5,+.074,+4.0,+4.0,+.112,+.099,+1.2,-0.6,+.071,+15.0
10,D. DeRozan | T. Hansbrough | K. Lowry | T. Ross,TOR,2014-15,14,113.2,214,209,89.7,+4.2,+6.0,+.016,+2.1,+6.5,-.011,+.024,+4.3,+2.2,+.103,+14.9
11,G. Antetokounmpo | J. Dudley | B. Knight | K. Middleton,MIL,2014-15,28,206.5,402,403,93.6,+7.3,+2.2,+.072,+1.8,-0.2,+.077,+.080,-1.5,-2.9,+.038,+14.9
12,T. Duncan | D. Green | K. Leonard | T. Parker,SAS,2014-15,58,872.2,1707,1719,94.3,+4.9,-3.0,+.070,+1.6,+0.9,+.066,+.080,+3.6,+3.9,+.026,+14.9
