,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Season,pid
57,,,NBA,,279,4998,12.5,.518,.374,.299,2.0,9.6,5.7,23.7,2.0,0.5,14.4,16.8,,4.0,4.3,8.3,.080,,-1.9,0.3,-1.6,0.5,Career,1626170
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1626170
59,,CHI,NBA,,137,2714,13.9,.538,.399,.325,1.9,9.6,5.6,25.3,2.0,0.5,12.6,16.9,,3.7,2.2,5.9,.103,,-1.0,0.3,-0.8,0.8,2 seasons,1626170
60,,NYK,NBA,,76,1265,11.2,.479,.256,.315,2.0,10.2,6.2,21.8,2.0,0.6,16.3,19.0,,-0.2,1.0,0.8,.030,,-2.8,-0.3,-3.1,-0.3,1 season,1626170
61,,ORL,NBA,,60,939,10.8,.526,.500,.182,2.1,9.1,5.6,22.4,2.3,0.5,17.7,13.4,,0.5,1.1,1.7,.085,,-2.9,1.3,-1.6,0.1,1 season,1626170
62,,WAS,NBA,,6,80,6.6,.449,.296,.259,2.6,5.7,4.1,15.3,0.6,1.1,9.1,17.2,,0.0,0.0,0.0,-0.018,,-4.8,-2.0,-6.8,-0.1,1 season,1626170
63,22,OKC,NBA,C,18,142,7.0,.537,.000,.267,11.1,17.5,14.4,4.0,1.8,3.6,32.3,7.9,,0.0,0.2,0.2,.066,,-5.6,1.6,-4.0,-0.1,2010-11,202332
64,23,OKC,NBA,C,26,173,17.7,.592,.000,.333,9.2,21.6,15.8,2.7,2.4,6.7,15.7,14.9,,0.3,0.4,0.6,.176,,-1.3,2.2,1.0,0.1,2011-12,202332
65,24,TOT,NBA,C,45,388,11.1,.563,.000,.250,8.7,26.7,17.7,3.4,0.7,4.6,20.6,12.7,,0.1,0.4,0.6,.070,,-3.5,0.6,-2.9,-0.1,2012-13,202332
66,24,HOU,NBA,C,30,213,7.3,.532,.000,.209,6.5,23.7,15.2,4.1,0.7,3.2,23.0,12.5,,-0.1,0.3,0.2,.038,,-5.6,0.6,-5.0,-0.2,2012-13,202332
67,24,SAC,NBA,C,15,175,15.7,.598,.000,.297,11.5,30.4,20.7,2.6,0.6,6.3,17.7,12.9,,0.2,0.2,0.4,.109,,-1.0,0.5,-0.5,0.1,2012-13,202332
68,25,NYK,NBA,C,46,330,19.1,.620,.000,.492,12.8,33.8,23.0,6.4,1.3,8.1,19.5,13.0,,0.6,0.6,1.2,.178,,-0.1,1.6,1.5,0.3,2013-14,202332
69,26,NYK,NBA,C,61,976,18.1,.513,.000,.213,11.6,28.9,20.0,13.3,2.0,5.5,15.2,18.3,,0.8,1.4,2.2,.107,,-0.8,1.1,0.3,0.6,2014-15,202332
70,27,LAC,NBA,C,60,800,21.3,.626,.000,.373,11.9,27.1,19.6,10.0,2.9,6.7,19.6,18.4,,1.4,2.0,3.5,.209,,-0.9,3.4,2.4,0.9,2015-16,202332
71,28,MIN,NBA,C,62,531,12.7,.549,.000,.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4,,0.6,0.7,1.3,.116,,-2.3,1.5,-0.8,0.2,2016-17,202332
72,29,MIN,NBA,C,21,49,6.0,.340,.000,.400,7.0,28.6,17.6,8.2,2.0,1.8,5.4,16.8,,-0.1,0.1,0.0,-0.013,,-6.8,-0.7,-7.5,-0.1,2017-18,202332
73,,,NBA,,339,3389,16.6,.563,.000,.296,11.2,27.0,19.0,8.6,2.1,5.6,17.6,15.2,,3.8,5.8,9.6,.135,,-1.6,1.7,0.1,1.8,Career,202332
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202332
75,,NYK,NBA,,107,1306,18.4,.533,.000,.260,11.9,30.1,20.8,11.6,1.8,6.2,16.0,17.0,,1.4,2.0,3.4,.125,,-0.6,1.2,0.6,0.9,2 seasons,202332
76,,MIN,NBA,,83,580,12.1,.516,.000,.277,10.7,24.3,17.4,6.6,2.4,3.6,13.7,10.0,,0.5,0.7,1.3,.105,,-2.6,1.3,-1.4,0.1,2 seasons,202332
77,,LAC,NBA,,60,800,21.3,.626,.000,.373,11.9,27.1,19.6,10.0,2.9,6.7,19.6,18.4,,1.4,2.0,3.5,.209,,-0.9,3.4,2.4,0.9,1 season,202332
78,,OKC,NBA,,44,315,12.9,.578,.000,.316,10.1,19.8,15.2,3.3,2.1,5.3,20.8,11.8,,0.3,0.6,0.8,.126,,-3.2,2.0,-1.3,0.1,2 seasons,202332
79,,HOU,NBA,,30,213,7.3,.532,.000,.209,6.5,23.7,15.2,4.1,0.7,3.2,23.0,12.5,,-0.1,0.3,0.2,.038,,-5.6,0.6,-5.0,-0.2,1 season,202332
80,,SAC,NBA,,15,175,15.7,.598,.000,.297,11.5,30.4,20.7,2.6,0.6,6.3,17.7,12.9,,0.2,0.2,0.4,.109,,-1.0,0.5,-0.5,0.1,1 season,202332
81,24,ATL,NBA,SF,15,209,5.8,.461,.671,.055,2.1,16.0,9.1,4.3,0.7,0.4,9.7,17.3,,-0.2,0.1,-0.1,-0.034,,-3.4,-2.1,-5.5,-0.2,2017-18,1628510
82,,,NBA,,15,209,5.8,.461,.671,.055,2.1,16.0,9.1,4.3,0.7,0.4,9.7,17.3,,-0.2,0.1,-0.1,-0.034,,-3.4,-2.1,-5.5,-0.2,Career,1628510
83,22,UTA,NBA,SG,50,1064,12.3,.529,.455,.214,1.0,11.7,6.4,13.2,1.5,0.9,9.9,19.6,,1.3,0.9,2.2,.098,,-1.0,0.3,-0.7,0.3,2014-15,203918
84,23,UTA,NBA,SG,79,2541,14.1,.542,.462,.206,1.8,10.5,6.1,14.4,1.5,0.5,10.5,21.5,,3.4,2.5,6.0,.112,,0.7,0.0,0.7,1.7,2015-16,203918
85,24,UTA,NBA,SG,59,1593,12.4,.522,.461,.173,1.2,13.1,7.3,10.1,1.3,0.6,8.3,22.9,,0.7,1.9,2.6,.078,,-0.6,-0.3,-0.9,0.4,2016-17,203918
86,25,TOT,NBA,SG,60,1616,14.3,.546,.443,.172,1.6,9.9,5.8,9.7,1.4,0.6,8.0,24.3,,1.2,1.5,2.7,.081,,0.8,-0.9,-0.1,0.8,2017-18,203918
87,25,UTA,NBA,SG,39,1084,15.1,.551,.475,.176,1.5,10.1,5.8,10.4,1.4,0.5,9.6,27.3,,0.6,1.3,1.9,.085,,1.6,-1.0,0.5,0.7,2017-18,203918
88,25,CLE,NBA,SG,21,532,12.7,.533,.357,.161,1.7,9.5,5.7,8.4,1.4,0.8,3.2,18.3,,0.6,0.2,0.8,.074,,-0.8,-0.7,-1.5,0.1,2017-18,203918
89,26,TOT,NBA,SG,72,1893,12.3,.545,.352,.231,1.4,7.9,4.6,10.0,1.5,0.5,6.9,18.1,,2.1,0.5,2.6,.065,,-1.2,-0.8,-2.0,0.0,2018-19,203918
90,26,CLE,NBA,SG,45,1234,13.0,.542,.335,.251,1.6,8.8,5.0,11.5,1.5,0.4,6.7,19.1,,1.5,0.0,1.5,.059,,-1.0,-1.1,-2.1,0.0,2018-19,203918
