"namePlayerBREF","slugPlayerBREF","isActive","yearsPlayer","countSeasons","slugSeasonRookie","slugSeasonLast","urlPlayerBioBREF"
"Collis Jones","jonesco01",FALSE,"1972-1975",4,"1971-72","1974-75","https://www.basketball-reference.com/players/j/jonesco01.html"
"Collis Temple","templco01",FALSE,"1975",1,"1974-75","1974-75","https://www.basketball-reference.com/players/t/templco01.html"
"Colton Iverson","iversco01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/i/iversco01.html"
"Conner Henry","henryco01",FALSE,"1987-1988",2,"1986-87","1987-88","https://www.basketball-reference.com/players/h/henryco01.html"
"Connie Dierking","dierkco01",FALSE,"1959-1971",13,"1958-59","1970-71","https://www.basketball-reference.com/players/d/dierkco01.html"
"Connie Hawkins","hawkico01",FALSE,"1968-1976",9,"1967-68","1975-76","https://www.basketball-reference.com/players/h/hawkico01.html"
"Connie Norman","normaco01",FALSE,"1975-1979",5,"1974-75","1978-79","https://www.basketball-reference.com/players/n/normaco01.html"
"Connie Rea","reaco01",FALSE,"1954",1,"1953-54","1953-54","https://www.basketball-reference.com/players/r/reaco01.html"
"Connie Simmons","simmoco01",FALSE,"1947-1956",10,"1946-47","1955-56","https://www.basketball-reference.com/players/s/simmoco01.html"
"Corey Beck","beckco01",FALSE,"1996-1999",4,"1995-96","1998-99","https://www.basketball-reference.com/players/b/beckco01.html"
"Corey Benjamin","benjaco01",FALSE,"1999-2003",5,"1998-99","2002-03","https://www.basketball-reference.com/players/b/benjaco01.html"
"Corey Brewer","breweco01",FALSE,"2008-2020",13,"2007-08","2019-20","https://www.basketball-reference.com/players/b/breweco01.html"
"Corey Crowder","crowdco01",FALSE,"1992-1995",4,"1991-92","1994-95","https://www.basketball-reference.com/players/c/crowdco01.html"
"Corey Gaines","gaineco01",FALSE,"1989-1995",7,"1988-89","1994-95","https://www.basketball-reference.com/players/g/gaineco01.html"
"Corey Hawkins","hawkico02",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/h/hawkico02.html"
"Corey Maggette","maggeco01",FALSE,"2000-2013",14,"1999-00","2012-13","https://www.basketball-reference.com/players/m/maggeco01.html"
"Corey Walden","waldeco01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/w/waldeco01.html"
"Corey Webster","webstco01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/w/webstco01.html"
"Corey Williams","willico01",FALSE,"1993-1994",2,"1992-93","1993-94","https://www.basketball-reference.com/players/w/willico01.html"
"Corie Blount","blounco01",FALSE,"1994-2004",11,"1993-94","2003-04","https://www.basketball-reference.com/players/b/blounco01.html"
"Corky Calhoun","calhoco01",FALSE,"1973-1980",8,"1972-73","1979-80","https://www.basketball-reference.com/players/c/calhoco01.html"
"Corky Devlin","devlico01",FALSE,"1956-1958",3,"1955-56","1957-58","https://www.basketball-reference.com/players/d/devlico01.html"
"Corliss Williamson","willico02",FALSE,"1996-2007",12,"1995-96","2006-07","https://www.basketball-reference.com/players/w/willico02.html"
"Cornelius Cash","cashco01",FALSE,"1977",1,"1976-77","1976-77","https://www.basketball-reference.com/players/c/cashco01.html"
"Cornell Warner","warneco01",FALSE,"1971-1977",7,"1970-71","1976-77","https://www.basketball-reference.com/players/w/warneco01.html"
"Corny Thompson","thompco01",FALSE,"1983",1,"1982-83","1982-83","https://www.basketball-reference.com/players/t/thompco01.html"
"Corsley Edwards","edwarco01",FALSE,"2005",1,"2004-05","2004-05","https://www.basketball-reference.com/players/e/edwarco01.html"
"Cory Alexander","alexaco01",FALSE,"1996-2005",10,"1995-96","2004-05","https://www.basketball-reference.com/players/a/alexaco01.html"
"Cory Blackwell","blackco01",FALSE,"1985",1,"1984-85","1984-85","https://www.basketball-reference.com/players/b/blackco01.html"
"Cory Carr","carrco01",FALSE,"1999",1,"1998-99","1998-99","https://www.basketball-reference.com/players/c/carrco01.html"
"Cory Higgins","higgico01",FALSE,"2012-2013",2,"2011-12","2012-13","https://www.basketball-reference.com/players/h/higgico01.html"
"Cory Jefferson","jeffeco01",FALSE,"2015-2016",2,"2014-15","2015-16","https://www.basketball-reference.com/players/j/jeffeco01.html"
