,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1024,John Holland,SR,2010-11,F,Boston University,AEC,34,1153,203,526,.386,127,296,76,230,.330,172,200,.860,44,152,196,54,47,11,73,79,654
1025,Marcus Morris,JR,2010-11,F,Kansas,Big 12,38,1076,240,421,.570,214,345,26,76,.342,148,215,.688,99,191,290,62,32,24,67,97,654
1026,Donald Sims,SR,2010-11,G,Appalachian State,Southern,31,1174,198,447,.443,120,227,78,220,.355,178,206,.864,11,105,116,112,53,5,86,47,652
1027,Chris Warren,SR,2010-11,G,Mississippi,SEC,34,1185,193,479,.403,98,200,95,279,.341,168,181,.928,7,69,76,128,23,3,72,61,649
1028,Alex Young,JR,2010-11,G,IUPUI,Summit,33,1208,244,513,.476,204,393,40,120,.333,121,165,.733,69,142,211,78,45,26,113,88,649
1029,Andrew Nicholson,JR,2010-11,F,St. Bonaventure,A-10,31,1049,237,415,.571,231,392,6,23,.261,165,232,.711,52,173,225,32,17,45,99,92,645
1030,Cameron Jones,SR,2010-11,G,Northern Arizona,Big Sky,32,1077,250,547,.457,213,456,37,91,.407,106,133,.797,31,116,147,101,28,3,72,63,643
1031,Justin Hurtt,SR,2010-11,G,Tulsa,CUSA,32,1079,206,494,.417,120,260,86,234,.368,142,175,.811,16,105,121,76,16,7,88,53,640
1032,Papa Dia,SR,2010-11,F,Southern Methodist,CUSA,35,1177,243,421,.577,230,391,13,30,.433,140,186,.753,104,231,335,63,23,77,125,109,639
1033,Clifford Reed,JR,2010-11,G,Bethune-Cookman,MEAC,34,1315,203,522,.389,149,357,54,165,.327,179,219,.817,27,103,130,163,55,1,102,87,639
1034,Malcolm Delaney,SR,2010-11,G,Virginia Tech,ACC,34,1300,186,443,.420,102,237,84,206,.408,181,213,.850,27,92,119,137,56,6,103,89,637
1035,Jared Sullinger,FR,2010-11,F,Ohio State,Big Ten,37,1172,222,410,.541,219,398,3,12,.250,188,267,.704,131,246,377,43,37,20,59,90,635
1036,Tu Holloway,JR,2010-11,G,Xavier,A-10,32,1228,168,396,.424,108,222,60,174,.345,235,270,.870,18,141,159,174,46,2,110,61,631
1037,Keith Benson,SR,2010-11,C,Oakland,Summit,35,1133,231,422,.547,222,399,9,23,.391,157,244,.643,93,261,354,38,28,125,66,108,628
1038,Jacob Pullen,SR,2010-11,G,Kansas State,Big 12,31,1012,191,448,.426,117,254,74,194,.381,170,220,.773,20,70,90,115,49,4,95,55,626
1039,Mike Smith,SR,2010-11,F,East Tennessee State,A-Sun,35,1194,222,473,.469,175,345,47,128,.367,135,171,.789,60,179,239,66,29,15,81,114,626
1040,Ben Hansbrough,SR,2010-11,G,Notre Dame,Big East,34,1202,194,405,.479,107,205,87,200,.435,150,184,.815,25,106,131,145,41,4,81,88,625
1041,Kyle Singler,SR,2010-11,F,Duke,ACC,37,1286,219,509,.430,157,316,62,193,.321,125,155,.806,88,165,253,60,34,12,70,98,625
1042,John Jenkins,SO,2010-11,G,Vanderbilt,SEC,32,1105,190,411,.462,90,166,100,245,.408,144,161,.894,17,78,95,39,24,11,52,44,624
1043,Jon Leuer,SR,2010-11,F,Wisconsin,Big Ten,34,1139,227,483,.470,173,337,54,146,.370,113,134,.843,57,189,246,56,17,30,54,75,621
1044,Anatoly Bose,SR,2010-11,G,Nicholls State,Southland,28,955,178,452,.394,111,246,67,206,.325,195,246,.793,34,130,164,62,38,5,95,67,618
1045,Reggie Jackson,JR,2010-11,G,Boston College,ACC,34,1161,219,435,.503,148,266,71,169,.420,109,137,.796,35,111,146,152,36,18,81,58,618
1046,Jordan Taylor,JR,2010-11,G,Wisconsin,Big Ten,34,1241,194,448,.433,119,273,75,175,.429,154,185,.832,32,107,139,161,25,5,42,80,617
1047,Reggie Hamilton,JR,2010-11,G,Oakland,Summit,35,1008,207,423,.489,125,202,82,221,.371,120,143,.839,27,59,86,187,46,7,127,85,616
1048,Kevin Anderson,SR,2010-11,G,Richmond,A-10,37,1339,211,494,.427,140,320,71,174,.408,120,160,.750,15,87,102,122,53,4,72,56,613
1049,Vlad Moldoveanu,SR,2010-11,F,American,Patriot,30,1011,197,450,.438,137,287,60,163,.368,159,191,.832,49,144,193,59,11,14,57,69,613
1050,E'Twaun Moore,SR,2010-11,G,Purdue,Big Ten,34,1152,221,494,.447,151,319,70,175,.400,100,141,.709,51,124,175,108,41,18,61,71,612
1051,Jamie Skeen,SR,2010-11,F,Virginia Commonwealth,CAA,39,1245,198,382,.518,162,296,36,86,.419,179,249,.719,93,193,286,62,23,40,66,77,611
1052,Cory Higgins,SR,2010-11,G,Colorado,Big 12,38,1222,200,461,.434,164,355,36,106,.340,174,201,.866,31,93,124,94,37,14,80,82,610
1053,Shelvin Mack,JR,2010-11,G,Butler,Horizon,38,1219,201,493,.408,114,247,87,246,.354,120,156,.769,27,143,170,131,30,3,93,66,609
1054,Matt Howard,SR,2010-11,F,Butler,Horizon,37,1148,188,399,.471,135,266,53,133,.398,179,226,.792,98,187,285,53,41,23,62,108,608
1055,Ken Horton,JR,2010-11,F,Central Connecticut State,NEC,31,1096,214,435,.492,155,278,59,157,.376,119,137,.869,92,183,275,60,44,50,51,74,606
1056,Kenneth Faried,SR,2010-11,F,Morehead State,OVC,35,1216,233,374,.623,233,374,0,0,,139,241,.577,200,308,508,37,67,82,92,108,605
1057,Nate Wolters,SO,2010-11,G,South Dakota State,Summit,31,1029,201,449,.448,159,346,42,103,.408,160,201,.796,32,110,142,188,41,7,68,63,604
1058,Gilberto Clavell,SR,2010-11,F,Sam Houston State,Southland,31,934,213,381,.559,211,374,2,7,.286,175,247,.709,100,125,225,28,20,4,97,107,603
1059,Dwight Hardy,SR,2010-11,G,St. John's (NY),Big East,33,1129,194,433,.448,132,258,62,175,.354,153,181,.845,26,71,97,62,42,3,73,59,603
1060,Dominique Morrison,JR,2010-11,F,Oral Roberts,Summit,31,1083,207,403,.514,167,304,40,99,.404,149,191,.780,41,114,155,66,20,15,51,84,603
1061,Andrew Warren,SR,2010-11,G,Bradley,MVC,32,1173,196,473,.414,120,278,76,195,.390,134,156,.859,38,137,175,59,54,10,57,90,602
1062,Brandon Bowdry,SR,2010-11,F,Eastern Michigan,MAC,30,967,205,460,.446,177,379,28,81,.346,160,235,.681,71,213,284,55,32,9,97,74,598
1063,Solomon Bozeman,SR,2010-11,G,Little Rock,Sun Belt,36,1100,153,353,.433,88,211,65,142,.458,226,280,.807,16,60,76,99,25,2,92,82,597
1064,Delroy James,SR,2010-11,F,Rhode Island,A-10,34,1160,213,487,.437,181,360,32,127,.252,137,186,.737,92,175,267,91,54,39,115,98,595
1065,Terrence Jones,FR,2010-11,F,Kentucky,SEC,38,1196,206,466,.442,180,387,26,79,.329,157,243,.646,92,244,336,60,43,72,75,91,595
1066,Vaughn Duggins,SR,2010-11,G,Wright State,Horizon,33,1160,202,452,.447,165,333,37,119,.311,152,185,.822,33,94,127,72,50,3,54,55,593
1067,Tristan Thompson,SR,2010-11,G,North Texas,Sun Belt,33,1056,158,344,.459,92,186,66,158,.418,211,253,.834,16,89,105,59,24,4,74,62,593
1068,Joevan Catron,SR,2010-11,F,Oregon,Pac-10,37,1023,195,416,.469,175,347,20,69,.290,178,248,.718,88,159,247,56,42,12,88,95,588
1069,Isaiah Thomas,JR,2010-11,G,Washington,Pac-10,35,1115,188,422,.445,128,250,60,172,.349,151,210,.719,26,97,123,213,47,2,104,75,587
1070,LeRoy Nobles,SR,2010-11,G,IUPUI,Summit,32,1144,180,380,.474,115,205,65,175,.371,161,196,.821,41,87,128,41,27,2,66,64,586
1071,Casper Ware,JR,2010-11,G,Cal State Long Beach,Big West,34,1187,172,408,.422,97,211,75,197,.381,166,205,.810,16,68,84,150,56,6,102,88,585
1072,Darius Johnson-Odom,JR,2010-11,G,Marquette,Big East,37,1109,196,453,.433,125,258,71,195,.364,121,171,.708,18,94,112,88,31,7,75,92,584
1073,Tyler Zeller,JR,2010-11,F,North Carolina,ACC,37,1041,211,384,.549,211,384,0,0,,161,212,.759,107,161,268,23,27,45,50,100,583
1074,Jimmy Butler,SR,2010-11,G,Marquette,Big East,37,1282,187,382,.490,167,324,20,58,.345,188,240,.783,90,135,225,86,53,13,54,49,582
1075,Gary Flowers,SR,2010-11,F,Southern Mississippi,CUSA,31,965,219,460,.476,169,337,50,123,.407,94,130,.723,78,162,240,33,33,44,76,83,582
1076,Nikola Vucevic,JR,2010-11,F,Southern California,Pac-10,34,1187,215,426,.505,186,343,29,83,.349,123,163,.755,97,253,350,54,18,47,58,96,582
1077,Denzel Bowles,JR,2010-11,F,James Madison,CAA,33,1061,226,389,.581,226,389,0,0,,129,181,.713,83,207,290,71,20,53,110,87,581
1078,Doug McDermott,FR,2010-11,F,Creighton,MVC,39,1133,220,419,.525,173,303,47,116,.405,94,126,.746,82,198,280,45,11,4,87,81,581
1079,Ryan Rossiter,SR,2010-11,F,Siena,MAAC,31,1158,206,440,.468,203,420,3,20,.150,166,211,.787,121,287,408,47,27,42,72,79,581
1080,Xavier Silas,SR,2010-11,G,Northern Illinois,MAC,26,831,178,388,.459,126,262,52,126,.413,171,201,.851,21,98,119,48,31,7,103,70,579
1081,Harrison Barnes,FR,2010-11,F,North Carolina,ACC,37,1087,209,497,.421,142,302,67,195,.344,93,124,.750,75,141,216,53,27,16,72,72,578
1082,Kalin Lucas,SR,2010-11,G,Michigan State,Big Ten,34,1136,194,453,.428,141,317,53,136,.390,137,167,.820,16,57,73,114,35,2,87,72,578
1083,Devin Gibson,SR,2010-11,G,Texas-San Antonio,Southland,34,1190,159,376,.423,132,287,27,89,.303,232,297,.781,46,132,178,183,91,5,113,86,577
1084,Marcus Denmon,JR,2010-11,G,Missouri,Big 12,34,1035,199,398,.500,117,215,82,183,.448,94,124,.758,33,86,119,61,61,4,32,56,574
1085,Bradford Burgess,JR,2010-11,G,Virginia Commonwealth,CAA,40,1380,193,396,.487,121,230,72,166,.434,113,150,.753,85,166,251,66,43,30,61,86,571
1086,Justin Greene,JR,2010-11,F,Kent State,MAC,37,1208,222,464,.478,222,463,0,1,.000,127,179,.709,99,209,308,61,39,53,111,105,571
1087,Will Pratt,SR,2010-11,F,Northwestern State,Southland,32,799,193,380,.508,172,312,21,68,.309,161,241,.668,51,91,142,39,42,9,109,113,568
1088,Markeith Cummings,SO,2010-11,F,Kennesaw State,A-Sun,31,1102,198,434,.456,186,377,12,57,.211,158,235,.672,63,92,155,56,45,4,90,73,566
1089,Antwan Carter,JR,2010-11,C,Longwood,Ind,31,1007,237,414,.572,228,377,9,37,.243,82,120,.683,72,221,293,50,28,23,66,106,565
1090,Austin Freeman,SR,2010-11,G,Georgetown,Big East,32,1082,204,429,.476,142,256,62,173,.358,94,108,.870,21,97,118,78,23,5,54,58,564
1091,Tony Mitchell,SO,2010-11,F,Alabama,SEC,37,1167,228,437,.522,197,339,31,98,.316,77,117,.658,97,164,261,49,59,41,64,89,564
1092,TyShwan Edmondson,JR,2010-11,G,Austin Peay,OVC,33,1057,206,487,.423,134,292,72,195,.369,79,106,.745,53,94,147,66,60,15,67,78,563
1093,Jamarco Warren,SR,2010-11,G,Charleston Southern,Big South,32,1068,180,410,.439,100,193,80,217,.369,123,142,.866,16,79,95,90,44,2,100,70,563
1094,Landon Clement,JR,2010-11,G,North Carolina Central,Ind,30,1081,183,424,.432,74,156,109,268,.407,86,107,.804,16,96,112,32,34,1,43,43,561
1095,Kyle Weems,JR,2010-11,F,Missouri State,MVC,35,1087,204,428,.477,138,261,66,167,.395,87,110,.791,57,183,240,49,48,33,50,93,561
1096,Anthony Gurley,SR,2010-11,G,Massachusetts,A-10,30,920,193,462,.418,133,290,60,172,.349,114,156,.731,24,107,131,42,29,2,83,57,560
1097,Kevin Murphy,JR,2010-11,G,Tennessee Tech,OVC,33,966,202,423,.478,165,312,37,111,.333,119,162,.735,18,130,148,58,34,6,107,72,560
1098,Darrion Pellum,JR,2010-11,G,Hampton,MEAC,32,1172,188,484,.388,115,267,73,217,.336,110,154,.714,23,115,138,63,53,10,92,70,559
1099,Kawhi Leonard,SO,2010-11,F,San Diego State,MWC,36,1172,211,475,.444,186,389,25,86,.291,110,145,.759,111,269,380,91,51,21,76,89,557
1100,Reggie Hamilton,SR,2011-12,G,Oakland,Summit,36,1284,281,630,.446,163,349,118,281,.420,262,299,.876,26,111,137,185,72,2,134,101,942
1101,Doug McDermott,SO,2011-12,F,Creighton,MVC,35,1117,307,511,.601,253,400,54,111,.486,133,167,.796,84,204,288,37,7,3,79,61,801
1102,Damian Lillard,JR,2011-12,G,Weber State,Big Sky,32,1105,231,495,.467,137,265,94,230,.409,228,257,.887,17,144,161,128,47,7,74,62,784
1103,C.J. McCollum,JR,2011-12,G,Lehigh,Patriot,35,1160,254,573,.443,194,397,60,176,.341,198,244,.811,50,179,229,124,91,19,81,73,766
1104,Nate Wolters,JR,2011-12,G,South Dakota State,Summit,34,1216,250,558,.448,217,421,33,137,.241,188,240,.783,31,143,174,202,59,2,75,63,721
1105,Shane Gibson,JR,2011-12,G,Sacred Heart,NEC,32,1082,253,496,.510,166,295,87,201,.433,112,130,.862,25,124,149,70,48,11,101,91,705
1106,John Jenkins,JR,2011-12,G,Vanderbilt,SEC,35,1177,217,458,.474,83,153,134,305,.439,128,153,.837,16,85,101,42,29,11,55,42,696
1107,Thomas Robinson,JR,2011-12,F,Kansas,Big 12,39,1242,261,517,.505,254,503,7,14,.500,163,239,.682,113,350,463,72,42,34,104,107,692
1108,Terrell Stoglin,SO,2011-12,G,Maryland,ACC,32,1045,220,533,.413,129,296,91,237,.384,159,202,.787,17,93,110,62,23,3,71,66,690
1109,Gerardo Suero,JR,2011-12,G,Albany (NY),AEC,32,1015,220,479,.459,191,398,29,81,.358,220,265,.830,68,116,184,100,42,11,134,82,689
1110,J'Covan Brown,JR,2011-12,G,Texas,Big 12,34,1209,223,535,.417,143,318,80,217,.369,157,182,.863,30,85,115,130,41,4,92,66,683
1111,Kevin Murphy,SR,2011-12,G,Tennessee Tech,OVC,33,1139,239,538,.444,160,348,79,190,.416,124,172,.721,30,143,173,76,28,7,108,71,681
1112,Dominique Morrison,SR,2011-12,F,Oral Roberts,Summit,34,1240,215,441,.488,160,311,55,130,.423,189,229,.825,34,113,147,55,28,12,57,100,674
1113,John Shurna,SR,2011-12,F,Northwestern,Big Ten,33,1232,228,492,.463,133,276,95,216,.440,110,146,.753,48,130,178,92,41,54,52,56,661
1114,Kevin Jones,SR,2011-12,F,West Virginia,Big East,33,1265,260,511,.509,226,383,34,128,.266,103,132,.780,141,219,360,41,23,34,42,41,657
1115,Colt Ryan,JR,2011-12,G,Evansville,MVC,32,1161,199,450,.442,125,281,74,169,.438,184,218,.844,14,120,134,105,60,7,78,85,656
1116,Wendell McKines,SR,2011-12,F,New Mexico State,WAC,35,1179,233,505,.461,182,360,51,145,.352,136,179,.760,118,256,374,54,27,13,70,80,653
1117,Alex Young,SR,2011-12,G,IUPUI,Summit,32,1050,219,516,.424,160,342,59,174,.339,156,191,.817,59,130,189,69,50,32,78,80,653
1118,Harrison Barnes,SO,2011-12,F,North Carolina,ACC,38,1111,229,521,.440,180,384,49,137,.358,141,195,.723,74,124,198,43,41,13,74,68,648
1119,Jared Sullinger,SO,2011-12,F,Ohio State,Big Ten,37,1123,228,439,.519,212,399,16,40,.400,175,228,.768,116,224,340,46,43,39,71,109,647
1120,Tyshawn Taylor,SR,2011-12,G,Kansas,Big 12,39,1303,226,474,.477,168,322,58,152,.382,137,199,.688,8,83,91,186,52,6,138,77,647
1121,Jared Cunningham,JR,2011-12,G,Oregon State,Pac-12,36,1245,198,440,.450,148,292,50,148,.338,199,270,.737,36,102,138,101,91,15,102,86,645
1122,Mike Moore,SR,2011-12,G,Hofstra,CAA,32,1108,200,477,.419,119,270,81,207,.391,156,191,.817,23,123,146,66,55,2,94,71,637
1123,Frank Gaines,JR,2011-12,G,Purdue-Fort Wayne,Summit,30,962,207,465,.445,158,323,49,142,.345,172,230,.748,39,137,176,36,41,18,77,90,635
1124,Nick Barbour,SR,2011-12,G,High Point,Big South,31,1014,185,415,.446,77,192,108,223,.484,155,187,.829,16,62,78,42,34,11,53,65,633
1125,Will Barton,SO,2011-12,G,Memphis,CUSA,35,1236,230,452,.509,193,345,37,107,.346,134,179,.749,70,209,279,102,50,25,75,74,631
1126,Preston Medlin,SO,2011-12,G,Utah State,WAC,37,1302,204,411,.496,109,189,95,222,.428,125,156,.801,5,159,164,124,26,5,73,55,628
1127,Darryl Partin,SR,2011-12,G,Boston University,AEC,32,1078,218,536,.407,149,315,69,221,.312,123,171,.719,37,88,125,35,35,3,101,55,628
1128,Chaz Williams,SO,2011-12,G,Massachusetts,A-10,37,1291,195,476,.410,133,328,62,148,.419,175,222,.788,36,125,161,231,81,7,126,104,627
1129,George Beamon,JR,2011-12,G,Manhattan,MAAC,33,1055,210,432,.486,149,289,61,143,.427,145,181,.801,53,132,185,65,48,15,89,70,626
1130,Isaiah Canaan,JR,2011-12,G,Murray State,OVC,33,1112,187,400,.468,89,185,98,215,.456,154,184,.837,27,87,114,120,45,2,89,56,626
1131,Darius Johnson-Odom,SR,2011-12,G,Marquette,Big East,34,1120,210,470,.447,133,270,77,200,.385,126,165,.764,22,97,119,93,32,4,80,68,623
1132,Tyler Zeller,SR,2011-12,F,North Carolina,ACC,38,1070,220,398,.553,220,398,0,0,,181,224,.808,146,219,365,36,34,58,73,102,621
1133,Marcus Denmon,SR,2011-12,G,Missouri,Big 12,35,1212,200,435,.460,101,192,99,243,.407,120,134,.896,35,141,176,74,54,1,41,34,619
1134,Deshaun Thomas,SO,2011-12,F,Ohio State,Big Ten,39,1225,243,467,.520,193,322,50,145,.345,83,110,.755,100,109,209,35,15,9,47,65,619
1135,Rakim Sanders,SR,2011-12,F,Fairfield,MAAC,37,1195,235,470,.500,191,329,44,141,.312,101,159,.635,102,201,303,92,52,13,122,97,615
1136,Jae Crowder,SR,2011-12,F,Marquette,Big East,35,1153,217,436,.498,156,259,61,177,.345,119,162,.735,70,224,294,73,88,35,44,93,614
1137,Brock Motum,JR,2011-12,F,Washington State,Pac-12,34,1072,220,397,.554,191,324,29,73,.397,144,195,.738,62,154,216,54,19,14,103,75,613
1138,Charles Odum,SR,2011-12,G,Portland State,Big Sky,32,1005,192,363,.529,154,251,38,112,.339,190,228,.833,26,98,124,82,29,7,94,72,612
1139,Orlando Johnson,SR,2011-12,G,UC-Santa Barbara,Big West,31,1067,207,459,.451,137,295,70,164,.427,127,182,.698,52,127,179,91,34,23,76,57,611
1140,Michael Glover,SR,2011-12,F,Iona,MAAC,33,1109,239,375,.637,239,375,0,0,,126,194,.649,106,191,297,32,33,38,88,97,604
1141,Jeremy Lamb,SO,2011-12,G,Connecticut,Big East,34,1266,217,454,.478,146,243,71,211,.336,98,121,.810,32,134,166,58,42,21,68,57,603
1142,Darrion Pellum,SR,2011-12,G,Hampton,MEAC,33,1272,196,542,.362,124,299,72,243,.296,139,184,.755,20,119,139,55,40,10,105,67,603
1143,Devon Saddler,SO,2011-12,G,Delaware,CAA,32,1130,193,493,.391,134,303,59,190,.311,158,197,.802,22,108,130,56,24,11,102,82,603
1144,Tim Frazier,JR,2011-12,G,Penn State,Big Ten,32,1188,208,497,.419,181,411,27,86,.314,159,201,.791,44,106,150,198,76,7,117,94,602
1145,Zack Rosen,SR,2011-12,G,Pennsylvania,Ivy,33,1259,211,466,.453,136,278,75,188,.399,105,119,.882,9,97,106,173,46,2,90,76,602
1146,Antwan Carter,SR,2011-12,C,Longwood,Ind,31,1055,245,480,.510,222,405,23,75,.307,88,123,.715,78,207,285,41,30,27,72,98,601
1147,Draymond Green,SR,2011-12,F,Michigan State,Big Ten,37,1229,212,472,.449,160,338,52,134,.388,125,173,.723,79,315,394,141,54,35,112,105,601
1148,Mike Muscala,JR,2011-12,F,Bucknell,Patriot,35,1047,193,384,.503,186,364,7,20,.350,203,238,.853,97,222,319,63,16,59,72,87,596
1149,Tu Holloway,SR,2011-12,G,Xavier,A-10,34,1247,166,387,.429,121,257,45,130,.346,218,253,.862,14,110,124,166,52,3,102,73,595
1150,Velton Jones,JR,2011-12,G,Robert Morris,NEC,37,1096,162,457,.354,102,271,60,186,.323,207,270,.767,29,75,104,167,68,1,99,107,591
1151,Andrew Nicholson,SR,2011-12,F,St. Bonaventure,A-10,32,962,220,385,.571,197,332,23,53,.434,128,165,.776,83,186,269,33,21,63,80,90,591
1152,Casper Ware,SR,2011-12,G,Cal State Long Beach,Big West,34,1146,189,471,.401,95,207,94,264,.356,119,150,.793,13,69,82,114,46,3,81,64,591
1153,Charles Hinkle,SR,2011-12,F,American,Patriot,32,1098,175,431,.406,90,228,85,203,.419,155,185,.838,33,141,174,58,30,14,68,66,590
1154,Patrick Richard,SR,2011-12,G,McNeese State,Southland,33,1204,190,473,.402,140,294,50,179,.279,160,208,.769,63,147,210,109,43,22,80,78,590
1155,Robert Covington,JR,2011-12,F,Tennessee State,OVC,33,1028,212,403,.526,147,258,65,145,.448,100,129,.775,95,165,260,43,51,45,77,97,589
1156,Rian Pearson,SO,2011-12,G,Toledo,MAC,36,1161,231,486,.475,223,455,8,31,.258,119,175,.680,106,194,300,70,56,13,93,84,589
1157,LaMarcus Reed,SR,2011-12,F,Texas-Arlington,Southland,33,1009,179,388,.461,115,222,64,166,.386,167,209,.799,22,101,123,55,33,12,87,63,589
1158,Kenny Boynton,JR,2011-12,G,Florida,SEC,37,1169,187,425,.440,77,155,110,270,.407,104,138,.754,20,77,97,100,28,1,52,39,588
1159,Kevin Olekaibe,SO,2011-12,G,Fresno State,WAC,33,1205,189,508,.372,97,236,92,272,.338,118,148,.797,21,84,105,39,44,4,50,61,588
1160,Juan'ya Green,FR,2011-12,G,Niagara,MAAC,33,1229,188,465,.404,127,285,61,180,.339,148,185,.800,24,82,106,147,63,11,115,75,585
1161,Jeffery Taylor,SR,2011-12,F,Vanderbilt,SEC,36,1157,210,426,.493,144,270,66,156,.423,95,157,.605,77,123,200,62,46,16,79,67,581
1162,Keith Gabriel,SR,2011-12,G,Virginia Military Institute,Big South,33,944,192,448,.429,117,214,75,234,.321,117,157,.745,27,88,115,62,59,41,73,75,576
1163,Mike Scott,SR,2011-12,F,Virginia,ACC,32,999,215,382,.563,209,362,6,20,.300,139,172,.808,70,195,265,37,21,15,67,56,575
1164,Terrence Ross,SO,2011-12,G,Washington,Pac-12,35,1088,215,470,.457,143,276,72,194,.371,72,94,.766,48,177,225,49,44,33,70,99,574
1165,Travis Bader,SO,2011-12,G,Oakland,Summit,36,1302,188,441,.426,64,127,124,314,.395,73,94,.777,23,92,115,43,31,4,37,93,573
1166,Julian Boyd,JR,2011-12,F,Long Island University,NEC,33,893,206,370,.557,185,320,21,50,.420,140,190,.737,80,228,308,26,16,21,70,97,573
1167,Robbie Hummel,SR,2011-12,F,Purdue,Big Ten,35,1128,194,465,.417,122,277,72,188,.383,113,137,.825,55,196,251,66,23,42,32,73,573
1168,Jamal Olasewere,JR,2011-12,F,Long Island University,NEC,34,884,197,345,.571,183,304,14,41,.341,165,225,.733,68,187,255,37,51,37,110,120,573
1169,Jud Dillard,JR,2011-12,F,Tennessee Tech,OVC,33,1103,198,383,.517,191,350,7,33,.212,169,205,.824,85,197,282,42,34,5,79,65,572
1170,Noah Hartsock,SR,2011-12,F,Brigham Young,WCC,34,1049,216,382,.565,204,347,12,35,.343,128,152,.842,41,130,171,50,29,55,53,69,572
1171,Kyle O'Quinn,SR,2011-12,C,Norfolk State,MEAC,36,1125,205,358,.573,199,326,6,32,.188,156,224,.696,114,258,372,51,25,97,95,117,572
1172,Anthony Davis,FR,2011-12,F,Kentucky,SEC,40,1281,210,337,.623,207,317,3,20,.150,144,203,.709,119,296,415,50,54,186,41,78,567
1173,William Buford,SR,2011-12,G,Ohio State,Big Ten,39,1320,205,489,.419,143,316,62,173,.358,94,114,.825,35,159,194,104,33,9,84,71,566
1174,Cody Zeller,FR,2011-12,F,Indiana,Big Ten,36,1025,200,321,.623,200,321,0,0,,163,216,.755,87,149,236,45,49,42,60,97,563
1175,Ryan Pearson,SR,2011-12,F,George Mason,CAA,33,1012,201,400,.503,173,320,28,80,.350,132,182,.725,76,195,271,58,43,15,89,86,562
1176,Carl Jones,JR,2011-12,G,Saint Joseph's,A-10,33,1204,176,423,.416,114,245,62,178,.348,147,186,.790,10,100,110,108,40,1,92,56,561
1177,DeAndre Kane,SO,2011-12,G,Marshall,CUSA,34,1156,201,486,.414,170,362,31,124,.250,127,212,.599,70,115,185,120,47,11,101,110,560
1178,Darryl Bryant,SR,2011-12,G,West Virginia,Big East,33,1230,157,438,.358,86,208,71,230,.309,174,222,.784,27,74,101,89,45,2,80,72,559
1179,Torrey Craig,SO,2011-12,F,South Carolina Upstate,A-Sun,34,1010,194,446,.435,111,208,83,238,.349,88,129,.682,80,183,263,52,45,37,92,93,559
1180,Tony Wroten,FR,2011-12,G,Washington,Pac-12,35,1062,198,447,.443,189,391,9,56,.161,154,264,.583,80,96,176,130,66,13,132,93,559
1181,Jamaal Franklin,SO,2011-12,G,San Diego State,MWC,32,969,173,400,.433,122,243,51,157,.325,160,200,.800,57,195,252,47,31,20,95,81,557
1182,Ray McCallum,SO,2011-12,G,Detroit Mercy,Horizon,36,1213,192,419,.458,162,294,30,125,.240,141,184,.766,37,126,163,143,57,7,80,74,555
1183,Rayvonte Rice,SO,2011-12,G,Drake,MVC,33,1101,190,436,.436,163,324,27,112,.241,148,209,.708,42,148,190,52,63,25,83,103,555
1184,Ramone Moore,SR,2011-12,G,Temple,A-10,32,1170,195,458,.426,138,309,57,149,.383,106,139,.763,29,109,138,110,35,5,82,78,553
1185,Trevis Simpson,SO,2011-12,G,North Carolina-Greensboro,Southern,30,835,186,486,.383,125,290,61,196,.311,117,155,.755,43,84,127,22,23,6,67,92,550
1186,Doron Lamb,SO,2011-12,G,Kentucky,SEC,40,1249,175,369,.474,99,206,76,163,.466,123,149,.826,15,93,108,60,19,2,44,72,549
1187,Matt Dickey,SR,2011-12,G,North Carolina-Asheville,Big South,34,1130,152,339,.448,90,170,62,169,.367,182,210,.867,26,87,113,124,50,2,81,76,548
1188,Anthony Ireland,SO,2011-12,G,Loyola Marymount,WCC,34,1241,190,432,.440,140,284,50,148,.338,118,153,.771,35,96,131,168,58,0,104,68,548
1189,Mike James,SR,2011-12,G,Lamar,Southland,32,995,211,466,.453,172,346,39,120,.325,87,108,.806,30,72,102,63,50,4,66,67,548
1190,Stan Okoye,JR,2011-12,F,Virginia Military Institute,Big South,32,924,200,385,.519,183,321,17,64,.266,130,194,.670,59,172,231,64,47,22,87,88,547
1191,Bradley Beal,FR,2011-12,G,Florida,SEC,37,1267,175,393,.445,112,207,63,186,.339,133,173,.769,50,199,249,83,51,31,79,76,546
1192,Keiton Page,SR,2011-12,G,Oklahoma State,Big 12,32,1139,164,395,.415,61,128,103,267,.386,115,135,.852,2,55,57,71,48,0,51,78,546
1193,Jordan Theodore,SR,2011-12,G,Seton Hall,Big East,34,1227,176,452,.389,132,314,44,138,.319,150,182,.824,28,78,106,226,61,2,99,67,546
1194,D.J. Cooper,JR,2011-12,G,Ohio,MAC,37,1199,162,465,.348,87,221,75,244,.307,146,196,.745,28,109,137,211,85,3,106,51,545
1195,Jaron Jones,SR,2011-12,G,Eastern Kentucky,OVC,32,1085,187,352,.531,163,288,24,64,.375,147,190,.774,55,87,142,59,46,8,60,85,545
1196,D'Angelo Harrison,FR,2011-12,G,St. John's (NY),Big East,32,1130,158,421,.375,82,214,76,207,.367,152,189,.804,41,83,124,66,52,8,69,94,544
