,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
49,J. Crowder | J. Jerebko,BOS,2014-15,28,323.7,638,647,95.3,+5.0,+9.9,+.009,+6.8,+13.7,+.085,+.042,-0.2,-1.5,+.036,+16.7,"('crowdja01', 'jerebjo01')"
50,J. Bayless | K. Marshall,MIL,2014-15,22,258.5,483,488,90.2,+5.2,-5.5,+.093,+2.8,-3.2,+.154,+.113,+3.5,+0.4,+.134,+16.6,"('bayleje01', 'marshke01')"
51,H. Barnes | A. Bogut,GSW,2014-15,66,1106.5,2269,2259,98.2,+7.5,+1.1,+.079,+6.4,+12.5,+.059,+.114,-5.0,-5.8,-.023,+16.5,"('barneha02', 'bogutan01')"
52,M. Dunleavy | N. Mirotić,CHI,2014-15,47,470.2,906,910,92.7,+2.5,-6.3,+.059,+3.8,+7.0,+.053,+.084,+7.8,+8.6,+.045,+16.5,"('dunlemi02', 'mirotni01')"
53,K. Leonard | P. Mills,SAS,2014-15,37,190.2,382,385,96.8,+10.2,+14.2,+.047,+6.1,+15.6,+.017,+.073,-10.0,-12.8,-.004,+16.5,"('leonaka01', 'millspa02')"
54,A. Brooks | D. Rose,CHI,2014-15,29,190.5,390,382,97.3,+4.9,-1.0,+.061,+4.7,+6.3,+.109,+.089,+1.8,+0.4,+.049,+16.4,"('brookaa01', 'rosede01')"
55,L. James | T. Mozgov,CLE,2014-15,40,805.4,1597,1578,94.6,+4.7,-3.0,+.067,+4.6,+9.8,+.033,+.094,+2.3,+3.4,-.007,+16.3,"('jamesle01', 'mozgoti01')"
56,B. Diaw | T. Splitter,SAS,2014-15,42,312.9,607,603,92.8,+6.0,+4.7,+.043,+6.4,+10.9,+.103,+.076,-2.2,-3.3,+.010,+16.2,"('diawbo01', 'splitti01')"
57,P. Antić | T. Sefolosha,ATL,2014-15,38,365.8,709,711,93.2,+5.7,+7.4,+.029,+1.9,+5.6,-.001,+.034,+2.9,+4.2,-.009,+16.2,"('anticpe01', 'sefolth01')"
58,B. Griffin | D. Jordan,LAC,2014-15,67,1951.3,3824,3831,94.2,+5.6,+1.0,+.058,+2.3,+2.1,+.058,+.070,+2.8,+5.1,-.037,+16.2,"('griffbl01', 'jordade01')"
59,S. Curry | F. Ezeli,GSW,2014-15,38,257.7,522,534,98.4,+4.9,+0.8,+.050,+6.3,+9.8,+.117,+.084,-0.2,-0.4,+.008,+15.9,"('curryst01', 'ezelife01')"
60,D. Green | A. Iguodala,GSW,2014-15,75,1046.4,2161,2164,99.2,+5.8,+1.9,+.057,+5.0,+8.7,+.076,+.084,-0.9,-1.7,+.014,+15.8,"('greendr01', 'iguodan01')"
61,D. Green | K. Leonard,SAS,2014-15,64,1185.0,2310,2330,94.0,+5.4,-1.3,+.067,+1.3,+1.3,+.039,+.075,+3.6,+3.2,+.052,+15.7,"('greenda02', 'leonaka01')"
62,J. Barea | T. Chandler,DAL,2014-15,62,393.3,768,767,93.7,+5.8,+2.4,+.053,+2.1,+2.4,+.047,+.063,+1.9,+1.1,+.048,+15.6,"('bareajo01', 'chandty01')"
63,M. Barnes | B. Griffin,LAC,2014-15,63,1660.8,3293,3307,95.4,+6.1,+1.7,+.060,+1.6,+1.5,+.043,+.068,+1.7,+4.2,-.053,+15.6,"('barnema02', 'griffbl01')"
66,C. Paul | H. Türkoğlu,LAC,2014-15,46,206.8,421,404,95.7,+6.3,+5.2,+.045,+5.6,+4.5,+.147,+.075,-2.8,-2.3,-.038,+15.5,"('paulch01', 'turkohe01')"
67,J. Evans | E. Millsap,UTA,2014-15,22,113.8,206,210,87.7,+5.1,-2.6,+.070,+0.2,-5.2,+.077,+.073,+5.2,+3.9,+.087,+15.5,"('evansje01', 'millsel01')"
68,D. Jordan | J. Redick,LAC,2014-15,78,2111.7,4165,4161,94.6,+5.7,+1.2,+.058,+3.0,+4.1,+.057,+.074,+1.1,+3.9,-.069,+15.5,"('jordade01', 'redicjj01')"
69,A. Aminu | C. Parsons,DAL,2014-15,50,426.6,851,876,97.2,+6.9,+7.7,+.041,+0.6,+5.3,-.046,+.040,+1.0,+1.6,-.005,+15.4,"('aminual01', 'parsoch01')"
70,A. Iguodala | K. Thompson,GSW,2014-15,73,980.1,2023,2032,99.3,+6.1,+0.4,+.069,+3.9,+4.8,+.085,+.091,-0.8,-1.8,+.023,+15.3,"('iguodan01', 'thompkl01')"
71,H. Barnes | K. Thompson,GSW,2014-15,77,1657.4,3436,3456,99.8,+6.4,+1.4,+.065,+5.5,+9.8,+.074,+.095,-3.2,-4.1,+.003,+15.2,"('barneha02', 'thompkl01')"
72,R. Jefferson | B. Wright,DAL,2014-15,19,133.1,266,280,98.4,+7.7,+4.3,+.066,+3.1,+1.2,+.109,+.081,-3.2,-2.8,-.034,+15.2,"('jefferi01', 'wrighbr03')"
