,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
15,K. Korver | J. Teague,ATL,2014-15,68,1607.6,3223,3153,95.2,+4.0,-1.6,+.054,+3.1,+2.0,+.091,+.073,+2.0,+1.5,+.040,+13.1,"('korveky01', 'teaguje01')"
16,R. Gobert | C. Johnson,UTA,2014-15,12,118.8,236,242,96.6,+5.5,+1.4,+.057,-4.4,+1.1,-.163,+.031,+6.3,+8.6,+.002,+13.0,"('goberru01', 'johnsch04')"
17,R. Jefferson | A. Stoudemire,DAL,2014-15,19,129.7,255,262,95.7,+3.5,-0.7,+.043,+0.6,-5.9,+.116,+.047,+5.5,+5.3,+.076,+13.0,"('jefferi01', 'stoudam01')"
18,D. Exum | E. Millsap,UTA,2014-15,43,335.0,609,617,87.8,+6.9,+3.3,+.061,+0.3,-2.5,+.045,+.061,-1.1,-2.6,+.039,+12.9,"('exumda01', 'millsel01')"
19,K. Love | T. Mozgov,CLE,2014-15,40,771.9,1532,1520,94.9,+2.6,-3.0,+.044,+4.7,+10.1,+.039,+.072,+3.1,+4.8,-.023,+12.9,"('loveke01', 'mozgoti01')"
22,D. Cunningham | J. Fredette,NOP,2014-15,26,164.4,319,323,93.8,+4.9,-2.3,+.067,+1.0,-3.2,+.102,+.074,+2.1,+1.6,+.037,+12.9,"('cunnida01', 'fredeji01')"
23,M. Dellavedova | L. James,CLE,2014-15,54,647.0,1214,1211,90.0,+1.8,+1.9,+.010,+4.7,+8.3,+.057,+.036,+4.7,+7.2,-.027,+12.9,"('dellama01', 'jamesle01')"
24,T. Hansbrough | L. Williams,TOR,2014-15,71,780.8,1488,1506,92.0,+1.1,-0.1,+.013,+3.3,+7.1,+.027,+.032,+7.5,+7.6,+.065,+12.9,"('hansbty01', 'willilo02')"
25,J. Maxiell | C. Zeller,CHO,2014-15,25,159.2,311,309,93.5,+6.5,+2.7,+.064,-1.3,-4.6,+.001,+.055,+1.2,+0.5,+.030,+12.9,"('maxieja01', 'zelleco01')"
26,M. Scott | T. Sefolosha,ATL,2014-15,44,379.3,707,730,90.9,+6.6,+2.1,+.066,+1.4,-1.8,+.068,+.073,-1.8,-1.9,-.014,+12.9,"('scottmi01', 'sefolth01')"
27,C. Andersen | G. Dragić,MIA,2014-15,21,219.5,431,427,93.8,+2.9,-2.2,+.045,+0.6,-2.5,+.065,+.050,+6.4,+5.6,+.091,+12.8,"('anderch01', 'dragigo01')"
28,P. Prigioni | J. Smith,HOU,2014-15,22,297.4,624,624,100.7,+1.9,-3.8,+.042,+1.8,+9.8,-.063,+.055,+7.2,+14.7,-.093,+12.8,"('prigipa01', 'smithjo03')"
29,A. Baynes | M. Ginóbili,SAS,2014-15,57,527.4,1056,1058,96.2,+5.4,+3.2,+.046,+5.4,+8.9,+.093,+.076,-3.5,-6.4,+.057,+12.7,"('baynear01', 'ginobma01')"
30,K. Olynyk | M. Smart,BOS,2014-15,50,606.0,1213,1193,95.3,+6.7,+7.8,+.037,+1.7,+5.9,-.011,+.042,-2.4,-3.2,.000,+12.7,"('olynyke01', 'smartma01')"
31,K. Love | I. Shumpert,CLE,2014-15,32,361.4,698,702,93.0,+2.1,-5.6,+.051,+5.5,+4.7,+.144,+.084,+3.0,+5.6,-.054,+12.6,"('loveke01', 'shumpim01')"
32,V. Carter | Z. Randolph,MEM,2014-15,51,326.5,654,622,93.8,+6.8,+1.9,+.067,-2.7,-12.0,+.058,+.051,+1.7,+0.6,+.055,+12.6,"('cartevi01', 'randoza01')"
33,R. Evans | A. Miller,SAC,2014-15,15,147.7,285,284,92.4,+4.8,-4.5,+.079,-3.2,-11.0,+.025,+.063,+6.3,+8.7,+.003,+12.6,"('evansre01', 'millean02')"
34,S. Karasev | D. Williams,BRK,2014-15,15,143.1,276,285,94.1,+6.5,+4.8,+.053,-1.5,-3.6,+.008,+.041,+1.0,+0.9,+.012,+12.6,"('karasse01', 'willide01')"
35,A. Aminu | T. Chandler,DAL,2014-15,59,496.7,992,1033,97.9,+4.7,+3.1,+.038,+0.7,+2.5,-.006,+.040,+2.5,+3.6,-.003,+12.5,"('aminual01', 'chandty01')"
36,T. Ariza | I. Canaan,HOU,2014-15,16,228.4,449,447,94.2,+0.5,-2.2,+.017,+5.3,+9.5,+.071,+.049,+6.2,+7.3,+.050,+12.5,"('arizatr01', 'canaais01')"
37,A. Baynes | P. Mills,SAS,2014-15,33,258.8,524,518,96.6,+4.6,+5.5,+.026,+4.3,+11.4,+.011,+.048,-1.0,-3.4,+.064,+12.5,"('baynear01', 'millspa02')"
38,K. Irving | I. Shumpert,CLE,2014-15,34,458.0,908,927,96.2,+1.7,-2.1,+.030,+5.7,+9.3,+.087,+.064,+3.5,+3.5,+.032,+12.5,"('irvinky01', 'shumpim01')"
39,C. Jefferson | B. Lopez,BRK,2014-15,25,133.8,259,265,94.0,+9.0,+3.7,+.079,-1.7,-9.8,+.068,+.068,-3.8,-4.4,-.013,+12.5,"('jeffeco01', 'lopezbr01')"
40,C. Bosh | J. McRoberts,MIA,2014-15,16,181.3,342,332,89.2,+4.7,-5.9,+.085,+1.0,-8.1,+.151,+.093,+2.0,+1.8,+.034,+12.4,"('boshch01', 'mcrobjo01')"
41,D. Arthur | W. Barton,DEN,2014-15,12,125.4,260,252,98.0,+9.7,-1.2,+.117,+0.9,-1.2,+.053,+.123,-7.9,-6.9,-.132,+12.4,"('arthuda01', 'bartowi01')"
44,S. Curry | M. Speights,GSW,2014-15,69,612.6,1316,1308,102.8,+4.5,+1.1,+.046,+3.8,+7.2,+.047,+.067,-0.4,-1.9,+.041,+12.4,"('curryst01', 'speigma01')"
45,L. James | T. Thompson,CLE,2014-15,69,1231.1,2370,2360,92.2,+0.4,-1.7,+.013,+3.1,+5.3,+.043,+.032,+8.2,+10.0,+.028,+12.2,"('jamesle01', 'thomptr01')"
46,W. Matthews | T. Robinson,POR,2014-15,28,232.3,468,465,96.4,+1.7,+0.3,+.018,+4.2,+10.6,+.022,+.042,+4.4,+6.3,-.001,+12.0,"('matthwe02', 'robinth01')"
47,D. Arthur | J. Nurkić,DEN,2014-15,27,174.6,359,352,97.7,+5.2,+3.0,+.045,+1.5,+1.5,+.038,+.052,-0.1,+2.6,-.079,+11.9,"('arthuda01', 'nurkiju01')"
48,T. Hansbrough | P. Patterson,TOR,2014-15,70,732.9,1391,1405,91.6,+0.4,+1.9,-.005,+3.0,+8.2,+.002,+.010,+8.1,+7.5,+.092,+11.9,"('hansbty01', 'pattepa01')"
49,A. Price | D. Rudež,IND,2014-15,10,148.0,278,275,89.7,+6.1,+10.9,+.011,+3.9,+4.8,+.085,+.027,-4.1,-3.5,-.090,+11.9,"('priceaj01', 'rudezda01')"
50,L. James | K. Love,CLE,2014-15,64,1779.4,3456,3433,92.9,+1.3,-2.7,+.028,+2.8,+5.5,+.031,+.045,+6.4,+7.7,+.024,+11.7,"('jamesle01', 'loveke01')"
51,T. Allen | M. Conley,MEM,2014-15,57,1069.7,2036,2079,92.3,+3.7,+0.9,+.037,-2.5,-9.6,+.069,+.022,+7.0,+7.9,+.034,+11.7,"('allento01', 'conlemi01')"
52,S. Blake | R. Lopez,POR,2014-15,47,262.5,504,510,92.7,+2.4,-7.4,+.058,+4.3,+9.4,+.042,+.084,+2.5,+1.0,+.105,+11.7,"('blakest01', 'lopezro01')"
53,F. Ezeli | A. Iguodala,GSW,2014-15,40,270.4,543,555,97.5,+4.3,-3.1,+.063,+3.5,+2.2,+.114,+.084,-0.4,-2.4,+.068,+11.7,"('ezelife01', 'iguodan01')"
54,B. Diaw | P. Mills,SAS,2014-15,46,483.1,969,961,95.9,+5.3,+5.0,+.037,+4.1,+10.2,+.028,+.057,-3.0,-5.6,+.055,+11.6,"('diawbo01', 'millspa02')"
55,A. Baynes | C. Joseph,SAS,2014-15,62,489.4,960,953,93.8,+4.5,-0.3,+.054,+2.7,+4.0,+.057,+.069,-0.1,-2.8,+.091,+11.6,"('baynear01', 'josepco01')"
56,J. Butler | N. Mirotić,CHI,2014-15,59,711.9,1362,1355,91.6,+0.7,-4.8,+.031,+3.0,+6.2,+.036,+.051,+7.2,+7.3,+.058,+11.6,"('butleji01', 'mirotni01')"
57,J. Freeland | W. Matthews,POR,2014-15,28,266.4,513,523,93.4,+1.9,-5.2,+.045,+7.9,+12.5,+.144,+.091,-0.1,-1.4,+.052,+11.6,"('freeljo01', 'matthwe02')"
58,P. Pressey | M. Smart,BOS,2014-15,29,158.3,310,316,94.9,+5.5,+0.4,+.060,+1.1,+2.4,+.014,+.066,-0.6,-1.1,+.005,+11.6,"('pressph01', 'smartma01')"
59,S. Curry | D. Lee,GSW,2014-15,44,342.1,731,731,102.6,+7.8,+9.6,+.039,+3.6,+9.8,-.018,+.053,-7.7,-6.8,-.095,+11.5,"('curryst01', 'leeda02')"
60,C. Joseph | K. Leonard,SAS,2014-15,47,385.1,748,764,94.2,+3.5,+1.8,+.030,-1.6,-1.3,-.056,+.021,+6.2,+6.0,+.076,+11.5,"('josepco01', 'leonaka01')"
61,J. Harden | D. Howard,HOU,2014-15,41,948.1,1880,1892,95.5,+2.3,-0.8,+.031,+5.5,+9.8,+.074,+.063,+1.4,+3.6,-.051,+11.4,"('hardeja01', 'howardw01')"
62,M. Kidd-Gilchrist | B. Roberts,CHO,2014-15,39,343.3,647,659,91.3,+4.5,+3.3,+.035,-1.9,-5.3,-.015,+.023,+4.3,+6.7,-.025,+11.4,"('kiddgmi01', 'roberbr01')"
63,M. McGary | D. Waiters,OKC,2014-15,30,296.5,617,621,100.2,+5.4,+8.2,+.020,+0.9,-1.8,+.059,+.021,-0.4,-3.9,+.095,+11.4,"('mcgarmi01', 'waitedi01')"
66,T. Mozgov | J. Smith,CLE,2014-15,45,916.1,1816,1805,94.9,+3.1,-1.9,+.044,+4.9,+10.4,+.030,+.072,+0.4,+0.5,.000,+11.4,"('mozgoti01', 'smithjr01')"
67,K. Korver | S. Mack,ATL,2014-15,34,188.3,371,363,93.6,+4.8,-2.2,+.067,+1.4,-1.2,+.060,+.076,+0.3,-0.6,+.044,+11.3,"('korveky01', 'macksh01')"
68,D. Nowitzki | B. Wright,DAL,2014-15,25,257.2,491,496,92.1,+6.9,+5.8,+.046,-1.3,+1.1,-.066,+.035,-1.2,-2.4,+.026,+11.3,"('nowitdi01', 'wrighbr03')"
69,T. Duncan | K. Leonard,SAS,2014-15,61,1470.4,2880,2890,94.2,+3.4,-1.3,+.045,+1.0,+1.3,+.027,+.051,+3.4,+3.3,+.040,+11.2,"('duncati01', 'leonaka01')"
70,M. Ginóbili | K. Leonard,SAS,2014-15,54,597.2,1200,1210,96.9,+4.1,+3.3,+.031,+2.1,+5.9,-.006,+.041,+0.8,+0.9,+.006,+11.2,"('ginobma01', 'leonaka01')"
71,C. Johnson | T. Wroten,PHI,2014-15,8,97.2,196,192,95.8,+6.4,+14.2,+.004,+2.4,+7.2,-.002,+.010,-4.0,-4.2,-.037,+11.2,"('johnsch04', 'wroteto01')"
72,L. Barbosa | A. Bogut,GSW,2014-15,39,170.4,334,329,93.4,+6.3,+3.8,+.053,+3.8,+3.8,+.081,+.071,-5.7,-5.7,-.061,+11.1,"('barbole01', 'bogutan01')"
73,N. Collison | K. Durant,OKC,2014-15,16,139.7,288,287,98.8,+4.4,+2.1,+.039,-0.4,-1.1,-.001,+.036,+2.7,+1.7,+.060,+11.1,"('collini01', 'duranke01')"
74,F. Ezeli | K. Thompson,GSW,2014-15,30,224.7,442,461,96.4,+2.8,-4.1,+.050,+6.6,+9.7,+.129,+.088,-1.1,-2.7,+.046,+11.1,"('ezelife01', 'thompkl01')"
75,T. Hansbrough | A. Johnson,TOR,2014-15,31,129.1,251,248,92.8,+2.3,+1.0,+.021,+4.3,+4.2,+.128,+.046,+2.2,+6.1,-.090,+11.1,"('hansbty01', 'johnsam01')"
76,K. Irving | L. James,CLE,2014-15,65,1800.6,3535,3499,93.8,+1.4,-3.1,+.032,+2.8,+5.9,+.024,+.049,+5.6,+6.7,+.022,+11.1,"('irvinky01', 'jamesle01')"
77,K. Korver | M. Scott,ATL,2014-15,62,546.9,1085,1050,93.7,+6.0,-2.5,+.079,+3.1,+1.0,+.090,+.098,-4.0,-5.8,+.029,+11.1,"('korveky01', 'scottmi01')"
78,T. Mozgov | T. Thompson,CLE,2014-15,36,272.1,521,521,91.9,+4.2,-0.4,+.048,+4.8,+6.7,+.084,+.074,-2.1,-2.3,-.019,+11.1,"('mozgoti01', 'thomptr01')"
79,E. Brand | J. Teague,ATL,2014-15,24,181.7,355,362,94.7,+1.9,-5.0,+.046,+0.8,-2.0,+.055,+.054,+6.5,+6.9,+.054,+11.0,"('brandel01', 'teaguje01')"
80,C. Brewer | J. Smith,HOU,2014-15,55,914.1,1929,1940,101.6,+1.7,-4.5,+.043,+3.6,+6.3,+.053,+.066,+4.0,+6.2,-.012,+11.0,"('breweco01', 'smithjo03')"
81,I. Canaan | J. Harden,HOU,2014-15,15,240.8,473,470,94.0,+0.6,-0.6,+.010,+5.7,+12.1,+.059,+.042,+4.1,+6.4,-.018,+11.0,"('canaais01', 'hardeja01')"
82,M. Ginóbili | T. Splitter,SAS,2014-15,42,377.1,749,737,94.6,+3.4,+3.4,+.021,+2.7,+5.9,+.025,+.035,+1.5,+0.5,+.053,+11.0,"('ginobma01', 'splitti01')"
83,D. Lillard | D. Wright,POR,2014-15,41,335.8,676,670,96.2,+1.6,+2.8,+.003,+6.9,+17.1,+.012,+.039,+1.0,-2.7,+.144,+11.0,"('lillada01', 'wrighdo01')"
84,D. Schröder | T. Sefolosha,ATL,2014-15,47,419.7,785,798,90.5,+5.0,+4.8,+.034,+1.6,+0.2,+.051,+.040,-0.6,-0.4,-.014,+11.0,"('schrode01', 'sefolth01')"
85,M. Beasley | J. Ennis,MIA,2014-15,12,152.2,294,297,93.2,+5.8,+3.6,+.049,+2.1,-1.1,+.091,+.059,-2.9,-4.8,+.026,+10.9,"('beaslmi01', 'ennisja01')"
88,M. Beasley | H. Walker,MIA,2014-15,18,214.4,421,424,94.6,+5.9,+0.6,+.068,+2.7,-1.2,+.110,+.084,-3.7,-4.6,-.013,+10.9,"('beaslmi01', 'walkebi01')"
89,N. Collison | M. McGary,OKC,2014-15,17,165.1,339,343,99.2,+4.8,+10.1,+.007,+1.9,+0.3,+.064,+.011,-0.7,-5.6,+.143,+10.9,"('collini01', 'mcgarmi01')"
90,K. Durant | S. Ibaka,OKC,2014-15,27,674.0,1358,1359,96.7,+3.8,-0.4,+.044,-0.4,+0.2,-.018,+.043,+3.7,+4.6,+.004,+10.9,"('duranke01', 'ibakase01')"
91,K. Durant | K. Perkins,OKC,2014-15,25,287.4,595,595,99.4,+5.9,+1.2,+.059,+2.2,+3.5,+.035,+.071,-3.0,-4.7,+.030,+10.9,"('duranke01', 'perkike01')"
92,T. Allen | Z. Randolph,MEM,2014-15,56,1081.4,2061,2088,92.1,+3.3,-1.0,+.043,-3.7,-11.5,+.046,+.022,+8.0,+8.7,+.057,+10.8,"('allento01', 'randoza01')"
93,K. Durant | R. Westbrook,OKC,2014-15,27,710.6,1454,1441,97.8,+3.5,-0.4,+.042,-0.9,0.0,-.037,+.037,+4.7,+5.2,+.026,+10.8,"('duranke01', 'westbru01')"
94,J. Freeland | D. Lillard,POR,2014-15,41,354.8,687,689,93.1,+2.4,-0.6,+.029,+7.6,+11.6,+.152,+.071,-1.7,-3.6,+.063,+10.8,"('freeljo01', 'lillada01')"
95,M. McGary | K. Singler,OKC,2014-15,15,98.4,203,203,99.0,+8.4,+7.9,+.054,+3.4,+0.5,+.140,+.070,-9.4,-13.8,+.049,+10.8,"('mcgarmi01', 'singlky01')"
96,M. Muscala | J. Teague,ATL,2014-15,16,147.0,294,299,96.8,+4.0,+5.9,+.016,+1.5,+1.1,+.043,+.021,+1.3,-0.7,+.084,+10.8,"('muscami01', 'teaguje01')"
97,J. Smith | J. Terry,HOU,2014-15,51,656.6,1365,1351,99.3,+1.7,-4.4,+.042,+5.3,+8.5,+.087,+.075,+2.2,+3.4,-.010,+10.8,"('smithjo03', 'terryja01')"
98,B. Diaw | K. Leonard,SAS,2014-15,64,925.9,1809,1827,94.3,+4.0,+2.0,+.035,+1.5,+3.2,+.018,+.042,+1.3,+0.6,+.038,+10.7,"('diawbo01', 'leonaka01')"
99,J. Crowder | M. Smart,BOS,2014-15,51,640.7,1262,1316,96.6,+5.1,+9.9,+.007,+4.1,+8.4,+.049,+.025,-3.5,-2.8,-.052,+10.7,"('crowdja01', 'smartma01')"
100,J. Jerebko | P. Pressey,BOS,2014-15,17,172.5,330,337,92.8,+4.7,+10.0,+.007,+4.4,+13.8,+.008,+.025,-3.0,-7.9,+.097,+10.7,"('jerebjo01', 'pressph01')"
101,L. Barbosa | S. Curry,GSW,2014-15,52,303.2,645,638,101.5,+4.2,+5.7,+.018,+3.6,+6.1,+.047,+.035,-1.6,+1.3,-.100,+10.6,"('barbole01', 'curryst01')"
102,H. Barnes | A. Iguodala,GSW,2014-15,71,760.0,1532,1563,97.7,+4.6,-2.1,+.063,+1.9,-0.4,+.083,+.075,-0.4,-0.1,-.015,+10.6,"('barneha02', 'iguodan01')"
103,E. Brand | P. Millsap,ATL,2014-15,21,199.1,389,392,94.2,+2.9,+0.4,+.031,+1.4,-1.6,+.072,+.039,+3.5,+4.0,+.014,+10.6,"('brandel01', 'millspa01')"
104,K. Leonard | T. Parker,SAS,2014-15,59,1466.9,2868,2882,94.1,+3.2,-1.3,+.043,+1.2,+1.4,+.034,+.050,+3.0,+2.9,+.036,+10.6,"('leonaka01', 'parketo01')"
105,A. Morrow | A. Roberson,OKC,2014-15,38,173.4,347,353,96.9,+2.3,+0.9,+.023,+3.3,+5.0,+.055,+.041,+2.6,-1.3,+.127,+10.6,"('morroan01', 'roberan03')"
106,P. Antić | A. Horford,ATL,2014-15,41,164.2,333,333,97.3,+3.6,-8.4,+.083,+2.1,-1.8,+.098,+.101,+1.2,+2.7,-.032,+10.5,"('anticpe01', 'horfoal01')"
107,M. Bonner | K. Leonard,SAS,2014-15,40,331.3,646,635,92.8,+3.7,+1.0,+.036,+1.1,+4.7,-.037,+.042,+2.1,+2.1,+.014,+10.5,"('bonnema01', 'leonaka01')"
0,D. Green | S. Livingston,GSW,2014-15,71,510.1,1017,1012,95.5,+4.2,-4.4,+.070,+3.0,+2.1,+.093,+.090,-0.8,-2.0,+.028,+10.5,"('greendr01', 'livinsh01')"
1,D. Lillard | W. Matthews,POR,2014-15,60,1555.1,3097,3085,95.4,+1.6,+0.3,+.017,+5.1,+10.4,+.069,+.045,+2.1,+1.4,+.044,+10.5,"('lillada01', 'matthwe02')"
2,O. Mayo | K. Middleton,MIL,2014-15,60,583.0,1185,1180,97.4,+5.3,-1.5,+.070,+2.0,-3.3,+.128,+.083,-2.3,-5.4,+.071,+10.4,"('mayooj01', 'middlkh01')"
3,J. Adams | K. Koufos,MEM,2014-15,19,122.9,237,230,91.2,+5.3,+4.6,+.039,+0.2,-11.8,+.163,+.038,-0.5,+2.3,-.092,+10.4,"('adamsjo01', 'koufoko01')"
4,T. Duncan | T. Splitter,SAS,2014-15,45,544.7,1065,1075,94.3,+4.8,-0.1,+.054,-0.4,-1.9,+.018,+.051,+1.3,+0.9,+.029,+10.4,"('duncati01', 'splitti01')"
5,M. Ellis | J. Nelson,DAL,2014-15,23,537.0,1062,1058,94.7,+4.8,+3.4,+.036,-0.5,+1.4,-.037,+.031,+1.3,+0.4,+.044,+10.4,"('ellismo01', 'nelsoja01')"
6,A. Horford | T. Sefolosha,ATL,2014-15,47,422.6,800,823,92.2,+4.1,-1.2,+.052,+0.7,-4.9,+.089,+.057,+1.6,+0.7,+.048,+10.4,"('horfoal01', 'sefolth01')"
7,W. Matthews | D. Wright,POR,2014-15,26,211.4,431,425,97.2,-0.8,-0.7,-.005,+8.9,+17.8,+.059,+.047,+3.0,-0.8,+.152,+10.4,"('matthwe02', 'wrighdo01')"
8,K. Love | J. Smith,CLE,2014-15,41,1043.3,2050,2031,93.9,+1.1,-1.0,+.018,+4.0,+9.5,+.024,+.040,+4.1,+5.4,-.001,+10.3,"('loveke01', 'smithjr01')"
9,A. Ajinça | T. Douglas,NOP,2014-15,12,117.6,215,219,88.6,+5.4,-4.8,+.085,+1.5,-1.9,+.117,+.095,-2.0,-0.1,-.090,+10.3,"('ajincal01', 'douglto01')"
10,N. Batum | T. Robinson,POR,2014-15,20,181.7,368,362,96.4,+0.7,+1.0,+.003,+5.3,+10.0,+.069,+.033,+3.5,+4.0,+.032,+10.3,"('batumni01', 'robinth01')"
11,T. Frazier | L. Mbah a Moute,PHI,2014-15,5,114.0,225,222,94.1,+4.9,-3.0,+.070,+4.8,+3.2,+.133,+.099,-4.2,+1.9,-.238,+10.3,"('fraziti01', 'mbahalu01')"
12,T. Hardaway | I. Shumpert,NYK,2014-15,15,149.6,291,290,93.2,+12.2,+13.8,+.065,+1.7,+5.1,-.022,+.066,-15.9,-19.0,-.027,+10.3,"('hardati02', 'shumpim01')"
13,C. Lee | Q. Pondexter,MEM,2014-15,23,170.8,324,325,91.2,+5.1,+0.6,+.053,+1.3,-2.7,+.100,+.059,-1.2,+0.4,-.057,+10.2,"('leeco01', 'pondequ01')"
14,T. Allen | V. Carter,MEM,2014-15,36,178.2,347,356,94.7,+8.4,+5.3,+.070,-5.2,-8.0,-.117,+.037,-1.3,-2.3,+.017,+10.2,"('allento01', 'cartevi01')"
15,D. Carroll | K. Korver,ATL,2014-15,66,1389.3,2773,2734,95.1,+3.0,-2.2,+.046,+2.9,+1.8,+.087,+.064,+1.3,+0.8,+.033,+10.2,"('carrode01', 'korveky01')"
16,C. Joseph | P. Mills,SAS,2014-15,36,230.5,462,461,96.1,+2.7,-1.1,+.037,+3.2,+7.7,+.019,+.056,+1.5,+3.0,-.036,+10.2,"('josepco01', 'millspa02')"
17,R. Lopez | W. Matthews,POR,2014-15,37,867.2,1687,1701,93.8,+1.0,-3.2,+.027,+4.1,+8.3,+.057,+.051,+4.0,+3.3,+.066,+10.2,"('lopezro01', 'matthwe02')"
18,K. Olynyk | G. Wallace,BOS,2014-15,18,103.9,206,204,94.7,+4.5,+1.6,+.042,+3.3,+5.1,+.068,+.059,-2.1,-0.7,-.085,+10.2,"('olynyke01', 'wallage01')"
19,K. Faried | A. Gee,DEN,2014-15,26,121.0,241,248,97.0,+0.7,-6.1,+.037,+1.0,-0.4,+.042,+.046,+7.7,+10.8,-.018,+10.1,"('farieke01', 'geeal01')"
22,C. Anthony | P. Prigioni,NYK,2014-15,27,360.7,689,680,91.1,+3.5,+2.8,+.025,-0.3,-1.2,+.007,+.022,+3.2,+3.1,+.030,+10.1,"('anthoca01', 'prigipa01')"
23,J. Crowder | M. Thornton,BOS,2014-15,13,113.5,229,224,95.8,+6.3,+23.2,-.036,+4.6,+9.1,+.058,-0.024,-7.0,-6.8,-.085,+10.1,"('crowdja01', 'thornma01')"
24,L. James | S. Marion,CLE,2014-15,46,645.6,1262,1266,94.0,+1.0,-2.7,+.026,-0.2,-1.3,+.010,+.026,+8.3,+9.6,+.037,+10.1,"('jamesle01', 'mariosh01')"
25,R. Price | R. Sacre,LAL,2014-15,20,226.7,446,451,95.0,+4.7,+6.7,+.019,+1.0,-4.6,+.112,+.021,-0.2,+2.3,-.066,+10.1,"('pricero01', 'sacrero01')"
26,T. Duncan | D. Green,SAS,2014-15,77,1577.3,3077,3085,93.8,+3.6,-1.8,+.050,+1.2,+1.9,+.022,+.057,+1.6,+1.4,+.024,+10.0,"('duncati01', 'greenda02')"
27,T. Evans | J. Fredette,NOP,2014-15,31,147.9,299,286,94.9,-1.4,+0.3,-.016,-1.0,+2.0,-.064,-0.022,+13.8,+16.2,+.050,+10.0,"('evansty01', 'fredeji01')"
28,T. Hansbrough | G. Vásquez,TOR,2014-15,72,684.6,1285,1306,90.8,+0.2,+0.1,+.002,+3.7,+8.5,+.024,+.023,+5.9,+5.8,+.063,+10.0,"('hansbty01', 'vasqugr01')"
29,A. Horford | K. Korver,ATL,2014-15,73,1867.5,3679,3629,93.9,+3.5,-2.7,+.054,+2.6,+0.7,+.089,+.070,+0.3,-0.5,+.038,+10.0,"('horfoal01', 'korveky01')"
30,A. Ajinça | A. Davis,NOP,2014-15,25,219.4,411,407,89.5,+7.2,+4.2,+.057,-0.8,-4.1,+.038,+.051,-3.6,-8.1,+.096,+9.9,"('ajincal01', 'davisan02')"
31,C. Anthony | L. Thomas,NYK,2014-15,10,112.0,218,225,94.9,+4.0,+5.4,+.017,+0.2,-10.1,+.159,+.015,+1.7,+1.4,+.018,+9.9,"('anthoca01', 'thomala01')"
32,D. Arthur | K. Faried,DEN,2014-15,29,170.8,353,345,98.1,+5.7,+10.0,+.014,-1.9,-0.9,-.060,-0.002,+0.4,+1.4,-.024,+9.9,"('arthuda01', 'farieke01')"
33,J. Bayless | Z. Pachulia,MIL,2014-15,63,588.7,1145,1137,93.0,+4.8,+3.0,+.040,-0.8,-4.5,+.028,+.034,+1.1,+0.6,+.027,+9.9,"('bayleje01', 'pachuza01')"
34,K. Caldwell-Pope | A. Tolliver,DET,2014-15,50,636.4,1260,1234,94.1,+3.2,+4.4,+.014,+5.5,+11.5,+.047,+.042,-2.1,-0.8,-.059,+9.9,"('caldwke01', 'tollian01')"
35,M. Gortat | R. Sessions,WAS,2014-15,24,195.8,383,388,94.5,+3.6,-2.5,+.051,-0.9,-6.5,+.067,+.047,+3.6,+1.6,+.108,+9.9,"('gortama01', 'sessira01')"
36,N. Hilário | K. Séraphin,WAS,2014-15,45,249.0,476,474,91.6,+8.5,+0.1,+.098,-0.4,-7.2,+.106,+.095,-6.6,-7.7,-.042,+9.9,"('hilarne01', 'serapke01')"
37,P. Antić | K. Korver,ATL,2014-15,55,424.3,881,842,97.5,+2.1,-1.5,+.033,+2.2,+5.0,+.010,+.047,+3.4,+5.2,-.019,+9.8,"('anticpe01', 'korveky01')"
38,A. Morrow | K. Perkins,OKC,2014-15,43,631.7,1243,1254,94.9,+5.9,+5.8,+.039,+1.4,-0.5,+.060,+.043,-3.4,-6.0,+.042,+9.8,"('morroan01', 'perkike01')"
39,J. Crawford | C. Paul,LAC,2014-15,64,980.2,1978,1965,96.5,+3.2,0.0,+.037,+0.4,-1.2,+.034,+.040,+2.9,+4.7,-.016,+9.7,"('crawfja01', 'paulch01')"
40,J. Barea | C. Parsons,DAL,2014-15,50,397.2,781,775,94.0,+3.4,+5.1,+.012,+2.9,+6.6,+.019,+.025,0.0,-0.7,+.020,+9.7,"('bareajo01', 'parsoch01')"
41,D. DeRozan | T. Hansbrough,TOR,2014-15,43,394.1,749,754,91.5,-0.1,+0.6,-.005,+2.1,+3.1,+.038,+.007,+7.8,+7.6,+.082,+9.7,"('derozde01', 'hansbty01')"
44,J. Dudley | K. Middleton,MIL,2014-15,64,937.1,1845,1840,94.4,+5.5,+1.6,+.056,+1.7,-0.5,+.079,+.064,-3.1,-6.1,+.070,+9.7,"('dudleja01', 'middlkh01')"
45,R. Jackson | A. Tolliver,DET,2014-15,27,426.8,826,802,91.5,+4.3,+6.0,+.017,+4.1,+9.4,+.031,+.036,-3.1,-0.2,-.135,+9.7,"('jacksre01', 'tollian01')"
46,G. Hill | C. Miles,IND,2014-15,38,840.0,1636,1634,93.4,+3.7,-1.0,+.047,+1.7,+1.2,+.056,+.057,+0.4,-0.3,+.024,+9.6,"('hillge01', 'milescj01')"
47,R. Sessions | J. Wall,WAS,2014-15,19,146.8,295,304,97.9,+4.1,+6.3,+.017,+2.9,0.0,+.136,+.031,-1.4,-3.8,+.048,+9.6,"('sessira01', 'walljo01')"
