,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
57,T. Booker | T. Burke | R. Hood | E. Millsap,UTA,2014-15,12,72.9,137,133,88.9,+12.3,+6.3,+.113,+4.2,-0.1,+.155,+.133,+1.8,+0.2,+.091,+30.7,"('booketr01', 'burketr01', 'hoodro01', 'millsel01')"
58,T. Chandler | M. Ellis | D. Harris | C. Villanueva,DAL,2014-15,16,58.8,118,117,96.0,+6.4,-1.6,+.078,+11.0,+18.4,+.149,+.138,+6.7,+2.4,+.299,+30.6,"('chandty01', 'ellismo01', 'harride01', 'villach01')"
59,E. Bledsoe | A. Len | M. Morris | I. Thomas,PHO,2014-15,23,92.8,197,195,101.3,+12.9,+4.7,+.124,+2.0,+7.4,-.040,+.132,+2.8,+0.2,+.094,+30.5,"('bledser01', 'lenal01', 'morrima02', 'thomais02')"
60,L. Barbosa | S. Curry | A. Iguodala | D. Lee,GSW,2014-15,18,71.5,152,156,103.4,+9.0,+5.5,+.071,+8.8,+9.1,+.163,+.116,+3.7,+6.5,-.056,+30.4,"('barbole01', 'curryst01', 'iguodan01', 'leeda02')"
61,K. Olynyk | M. Smart | M. Thornton | E. Turner,BOS,2014-15,12,57.5,121,115,98.5,+13.4,+20.1,+.056,+4.7,+12.4,+.011,+.072,-1.1,-9.1,+.204,+30.3,"('olynyke01', 'smartma01', 'thornma01', 'turneev01')"
62,G. Hill | S. Hill | I. Mahinmi | C. Miles,IND,2014-15,14,64.4,124,126,93.1,+10.2,-3.5,+.142,+4.1,+11.5,+.010,+.168,+5.9,+6.7,+.027,+30.3,"('hillge01', 'hillso01', 'mahinia01', 'milescj01')"
63,T. Hardaway | P. Prigioni | J. Smith | A. Stoudemire,NYK,2014-15,12,65.5,131,124,93.5,+14.2,+0.6,+.157,+6.5,-1.5,+.265,+.193,-4.9,-6.1,-.031,+30.1,"('hardati02', 'prigipa01', 'smithjr01', 'stoudam01')"
66,A. Baynes | B. Diaw | C. Joseph | K. Leonard,SAS,2014-15,21,90.2,177,185,96.3,+13.3,+13.7,+.084,+0.8,+5.8,-.047,+.083,+2.7,+1.8,+.087,+30.1,"('baynear01', 'diawbo01', 'josepco01', 'leonaka01')"
67,N. Collison | K. Durant | S. Ibaka | R. Westbrook,OKC,2014-15,10,52.5,104,107,96.5,+13.3,+11.1,+.099,-0.8,-0.3,-.031,+.091,+4.3,+8.3,-.059,+30.1,"('collini01', 'duranke01', 'ibakase01', 'westbru01')"
68,P. Antić | K. Korver | P. Millsap | T. Sefolosha,ATL,2014-15,20,86.0,176,163,94.6,+9.9,+6.5,+.081,+1.7,+7.6,-.033,+.088,+8.3,+9.0,+.080,+29.8,"('anticpe01', 'korveky01', 'millspa01', 'sefolth01')"
69,J. Crowder | J. Jerebko | K. Olynyk | M. Smart,BOS,2014-15,13,52.5,103,106,95.5,+9.7,+6.4,+.078,+8.9,+20.0,+.103,+.124,+1.5,-5.1,+.249,+29.8,"('crowdja01', 'jerebjo01', 'olynyke01', 'smartma01')"
70,B. Beal | D. Gooden | K. Séraphin | R. Sessions,WAS,2014-15,14,65.5,125,125,91.7,+12.8,-10.4,+.198,+3.2,-5.6,+.221,+.223,+0.8,-0.8,+.069,+29.6,"('bealbr01', 'goodedr01', 'serapke01', 'sessira01')"
71,K. Irving | T. Mozgov | I. Shumpert | T. Thompson,CLE,2014-15,18,60.5,114,119,92.4,+10.6,+5.5,+.087,+10.1,+13.3,+.119,+.139,-1.8,+1.0,-.111,+29.5,"('irvinky01', 'mozgoti01', 'shumpim01', 'thomptr01')"
72,M. Dunleavy | P. Gasol | K. Hinrich | N. Mirotić,CHI,2014-15,25,95.4,182,192,94.1,+3.4,-5.5,+.064,+6.2,+6.6,+.196,+.102,+16.3,+15.0,+.146,+29.2,"('dunlemi02', 'gasolpa01', 'hinriki01', 'mirotni01')"
73,B. Bass | M. Smart | M. Thornton | E. Turner,BOS,2014-15,16,61.7,124,123,96.1,+12.7,+17.9,+.061,+4.0,+10.3,+.038,+.076,-0.2,-7.5,+.185,+29.1,"('bassbr01', 'smartma01', 'thornma01', 'turneev01')"
74,A. Brooks | J. Butler | K. Hinrich | J. Noah,CHI,2014-15,18,58.4,114,111,92.4,-0.9,-7.7,+.025,+7.8,+4.8,+.333,+.073,+23.2,+22.1,+.132,+29.1,"('brookaa01', 'butleji01', 'hinriki01', 'noahjo01')"
75,A. Horford | K. Korver | M. Scott | J. Teague,ATL,2014-15,40,94.3,192,183,95.5,+15.2,-0.5,+.174,+5.4,-4.0,+.244,+.205,-6.7,-9.6,+.042,+29.0,"('horfoal01', 'korveky01', 'scottmi01', 'teaguje01')"
76,B. Diaw | M. Ginóbili | C. Joseph | T. Splitter,SAS,2014-15,13,64.5,123,118,89.7,+5.0,+0.4,+.054,+3.0,+5.8,+.046,+.070,+16.0,+19.0,+.226,+29.0,"('diawbo01', 'ginobma01', 'josepco01', 'splitti01')"
77,M. Dellavedova | L. James | T. Mozgov | T. Thompson,CLE,2014-15,19,62.1,118,117,90.8,+11.6,+8.5,+.084,+5.0,+5.7,+.131,+.107,+0.8,+2.4,-.066,+29.0,"('dellama01', 'jamesle01', 'mozgoti01', 'thomptr01')"
78,A. Anderson | J. Jack | S. Karasev | M. Plumlee,BRK,2014-15,14,49.5,96,98,94.1,+10.1,-1.3,+.119,+1.2,+2.6,+.012,+.127,+7.5,+10.8,+.020,+28.9,"('anderal01', 'jackja01', 'karasse01', 'plumlma01')"
79,H. Barnes | S. Curry | D. Green | A. Iguodala,GSW,2014-15,41,147.6,317,324,104.2,+10.1,-0.3,+.121,+5.8,+3.5,+.148,+.156,+2.4,+5.7,-.058,+28.5,"('barneha02', 'curryst01', 'greendr01', 'iguodan01')"
80,L. Aldridge | N. Batum | J. Freeland | W. Matthews,POR,2014-15,3,49.0,89,95,90.1,+10.2,+6.2,+.080,+12.5,+20.3,+.265,+.142,-4.4,-7.4,+.084,+28.5,"('aldrila01', 'batumni01', 'freeljo01', 'matthwe02')"
81,M. Ginóbili | D. Green | C. Joseph | T. Splitter,SAS,2014-15,14,66.2,131,128,93.9,+9.1,+9.6,+.055,+4.4,+1.0,+.160,+.075,+5.8,+4.8,+.095,+28.4,"('ginobma01', 'greenda02', 'josepco01', 'splitti01')"
82,C. Andersen | M. Chalmers | G. Dragić | H. Walker,MIA,2014-15,13,62.8,122,120,92.5,+12.6,-3.2,+.153,+0.7,+1.2,+.011,+.158,+2.3,-0.3,+.136,+28.2,"('anderch01', 'chalmma01', 'dragigo01', 'walkebi01')"
83,T. Ariza | J. Harden | D. Howard | K. Papanikolaou,HOU,2014-15,10,57.3,106,108,89.7,+7.3,+8.2,+.042,+11.4,+16.5,+.173,+.102,+2.2,+2.3,+.019,+28.1,"('arizatr01', 'hardeja01', 'howardw01', 'papanko01')"
84,C. Butler | A. Drummond | B. Jennings | G. Monroe,DET,2014-15,11,50.1,96,97,92.5,+12.9,+28.9,-.004,+5.3,+11.6,+.011,+.010,-2.9,-0.7,-.082,+28.1,"('butleca01', 'drumman01', 'jennibr01', 'monrogr01')"
85,J. Bayless | J. Dudley | K. Middleton | Z. Pachulia,MIL,2014-15,25,137.4,264,265,92.4,+9.2,+10.5,+.054,+3.8,-1.4,+.175,+.070,+5.7,+5.8,+.055,+28.0,"('bayleje01', 'dudleja01', 'middlkh01', 'pachuza01')"
88,D. Exum | R. Gobert | G. Hayward | E. Millsap,UTA,2014-15,22,53.5,103,105,93.4,+9.3,-0.3,+.114,+4.9,+0.5,+.200,+.144,+4.3,+4.5,+.037,+27.8,"('exumda01', 'goberru01', 'haywago01', 'millsel01')"
89,D. Arthur | W. Barton | J. Hickson | J. Nelson,DEN,2014-15,9,60.7,124,121,96.9,+15.4,+4.5,+.158,+3.1,-2.2,+.160,+.174,-6.0,-5.3,-.111,+27.8,"('arthuda01', 'bartowi01', 'hicksjj01', 'nelsoja01')"
90,E. İlyasova | O. Mayo | K. Middleton | Z. Pachulia,MIL,2014-15,16,64.5,134,132,99.1,+14.4,+5.5,+.140,+4.4,-4.1,+.280,+.163,-5.5,-2.6,-.181,+27.7,"('ilyaser01', 'mayooj01', 'middlkh01', 'pachuza01')"
91,C. Hayes | K. Lowry | P. Patterson | L. Williams,TOR,2014-15,15,50.5,98,99,93.6,+11.6,+9.0,+.086,+5.2,+8.5,+.047,+.108,-0.7,-5.7,+.094,+27.7,"('hayesch01', 'lowryky01', 'pattepa01', 'willilo02')"
92,J. Crawford | G. Davis | D. Jordan | C. Paul,LAC,2014-15,14,50.9,101,101,95.2,+11.9,-8.9,+.172,+7.9,+1.0,+.355,+.218,-4.0,+6.9,-.309,+27.7,"('crawfja01', 'davisgl01', 'jordade01', 'paulch01')"
93,L. Barbosa | A. Bogut | S. Curry | A. Iguodala,GSW,2014-15,27,68.6,134,134,93.7,+11.2,+11.9,+.063,+6.7,+10.4,+.083,+.091,-2.2,-2.2,-.025,+27.6,"('barbole01', 'bogutan01', 'curryst01', 'iguodan01')"
94,G. Hill | S. Hill | C. Miles | L. Scola,IND,2014-15,14,53.0,98,97,88.2,+7.8,+6.3,+.054,+4.0,+2.9,+.159,+.075,+8.0,+3.8,+.179,+27.6,"('hillge01', 'hillso01', 'milescj01', 'scolalu01')"
95,R. Hibbert | G. Hill | C. Miles | L. Scola,IND,2014-15,20,79.4,149,149,90.1,+8.7,+4.7,+.073,+7.4,+4.0,+.265,+.113,+2.7,-2.0,+.122,+27.5,"('hibbero01', 'hillge01', 'milescj01', 'scolalu01')"
96,G. Antetokounmpo | J. Henson | O. Mayo | K. Middleton,MIL,2014-15,16,50.7,102,103,97.1,+5.3,-11.8,+.119,+2.0,-14.4,+.254,+.136,+14.8,+13.9,+.150,+27.4,"('antetgi01', 'hensojo01', 'mayooj01', 'middlkh01')"
97,A. Bogut | S. Curry | A. Iguodala | K. Thompson,GSW,2014-15,56,248.3,514,512,99.2,+10.8,+7.5,+.086,+7.8,+11.4,+.132,+.125,-1.8,-3.2,+.036,+27.4,"('bogutan01', 'curryst01', 'iguodan01', 'thompkl01')"
