,Team,Lg,Salary,Season,pid
5779,Miami Heat,NBA,"$1,512,601",2018-19,1627884
5780,Miami Heat,NBA,"$1,645,357",2019-20,1627884
5781,(may be incomplete),,"$4,101,887",Career,1627884
5782,New Orleans Pelicans,NBA,"$281,659",2015-16,1626214
5783,(may be incomplete),,"$281,659",Career,1626214
5784,Phoenix Suns,NBA,"$1,919,160",2011-12,202693
5785,Phoenix Suns,NBA,"$2,063,040",2012-13,202693
5786,Phoenix Suns,NBA,"$2,091,840",2013-14,202693
5787,Phoenix Suns,NBA,"$2,989,239",2014-15,202693
5788,Washington Wizards,NBA,"$8,000,000",2015-16,202693
5789,Washington Wizards,NBA,"$7,400,000",2016-17,202693
5790,Washington Wizards,NBA,"$8,000,000",2017-18,202693
5791,New Orleans Pelicans,NBA,"$8,600,000",2018-19,202693
5792,Oklahoma City Thunder,NBA,"$573,295",2018-19,202693
5793,Detroit Pistons,NBA,"$2,241,808",2019-20,202693
5794,Los Angeles Lakers,NBA,"$1,750,000",2019-20,202693
5795,(may be incomplete),,"$45,628,382",Career,202693
5796,Memphis Grizzlies,NBA,"$1,110,120",2012-13,203100
5797,Memphis Grizzlies,NBA,"$1,160,040",2013-14,203100
5798,Philadelphia 76ers,NBA,"$1,210,080",2014-15,203100
5799,Philadelphia 76ers,NBA,"$2,179,354",2015-16,203100
5800,New York Knicks,NBA,"$167,406",2015-16,203100
5801,Memphis Grizzlies,NBA,"$25,000",2016-17,203100
5802,(may be incomplete),,"$5,852,000",Career,203100
5803,Phoenix Suns,NBA,"$916,000",1996-97,959
5804,Phoenix Suns,NBA,"$1,053,360",1997-98,959
5805,Dallas Mavericks,NBA,"$1,190,760",1998-99,959
5806,Dallas Mavericks,NBA,"$5,500,000",1999-00,959
5807,Dallas Mavericks,NBA,"$5,500,000",2000-01,959
5808,Dallas Mavericks,NBA,"$5,750,000",2001-02,959
5809,Dallas Mavericks,NBA,"$5,750,000",2002-03,959
5810,Dallas Mavericks,NBA,"$5,750,000",2003-04,959
5811,Phoenix Suns,NBA,"$8,750,000",2004-05,959
5812,Phoenix Suns,NBA,"$9,625,000",2005-06,959
5813,Phoenix Suns,NBA,"$10,500,000",2006-07,959
5814,Phoenix Suns,NBA,"$11,375,000",2007-08,959
5815,Phoenix Suns,NBA,"$12,250,000",2008-09,959
5816,Phoenix Suns,NBA,"$13,125,000",2009-10,959
5817,Phoenix Suns,NBA,"$10,310,938",2010-11,959
5818,Phoenix Suns,NBA,"$11,689,062",2011-12,959
5819,Los Angeles Lakers,NBA,"$8,900,000",2012-13,959
5820,Los Angeles Lakers,NBA,"$9,300,500",2013-14,959
5821,Los Angeles Lakers,NBA,"$9,701,000",2014-15,959
5822,(may be incomplete),,"$146,936,620",Career,959
5823,Indiana Pacers,NBA,< $Minimum,2019-20,1628968
5824,(may be incomplete),,$0,Career,1628968
5825,Minnesota Timberwolves,NBA,"$2,448,240",2006-07,200751
5826,Minnesota Timberwolves,NBA,"$2,631,840",2007-08,200751
5827,Minnesota Timberwolves,NBA,"$2,815,560",2008-09,200751
5828,Washington Wizards,NBA,"$3,575,761",2009-10,200751
5829,Los Angeles Clippers,NBA,"$4,250,000",2010-11,200751
5830,Los Angeles Clippers,NBA,"$4,250,000",2011-12,200751
5831,Utah Jazz,NBA,"$2,500,000",2012-13,200751
5832,Denver Nuggets,NBA,"$3,000,000",2013-14,200751
5833,Denver Nuggets,NBA,"$3,135,000",2014-15,200751
5834,Oklahoma City Thunder,NBA,"$3,270,000",2015-16,200751
5835,Brooklyn Nets,NBA,"$2,500,000",2016-17,200751
5836,(may be incomplete),,"$34,376,401",Career,200751
5837,Washington Wizards,NBA,"$1,042,320",2010-11,202348
5838,Washington Wizards,NBA,"$1,120,440",2011-12,202348
5839,Boston Celtics,NBA,"$1,198,680",2012-13,202348
5840,Boston Celtics,NBA,"$2,162,419",2013-14,202348
5841,New Orleans Pelicans,NBA,"$234,915",2016-17,202348
5842,New Orleans Pelicans,NBA,"$308,190",2017-18,202348
5843,(may be incomplete),,"$6,066,964",Career,202348
5844,Washington Wizards,NBA,"$2,870,813",2016-17,203107
5845,Washington Wizards,NBA,"$3,000,000",2017-18,203107
5846,Washington Wizards,NBA,"$3,129,187",2018-19,203107
5847,Chicago Bulls,NBA,"$10,000,000",2019-20,203107
5848,(may be incomplete),,"$19,000,000",Career,203107
5849,Miami Heat,NBA,"$473,604",2010-11,202354
5850,Miami Heat,NBA,"$762,195",2011-12,202354
5851,Memphis Grizzlies,NBA,"$854,389",2012-13,202354
5852,(may be incomplete),,"$2,090,188",Career,202354
5853,Houston Rockets,NBA,"$816,500",2008-09,201595
5854,Sacramento Kings,NBA,"$881,000",2009-10,201595
5855,Toronto Raptors,NBA,"$854,389",2010-11,201595
5856,Houston Rockets,NBA,"$948,163",2014-15,201595
5857,Denver Nuggets,NBA,"$1,015,421",2015-16,201595
5858,(may be incomplete),,"$4,515,473",Career,201595
5859,Phoenix Suns,NBA,"$114,285",2015-16,1626210
5860,Phoenix Suns,NBA,"$874,636",2016-17,1626210
5861,Phoenix Suns,NBA,"$6,000,000",2017-18,1626210
5862,Brooklyn Nets,NBA,< $Minimum,2018-19,1626210
5863,(may be incomplete),,"$6,988,921",Career,1626210
5864,Phoenix Suns,NBA,"$4,276,320",2016-17,1627733
5865,Phoenix Suns,NBA,"$4,468,800",2017-18,1627733
5866,Phoenix Suns,NBA,"$4,661,280",2018-19,1627733
5867,Milwaukee Bucks,NBA,"$1,678,854",2019-20,1627733
5868,Golden State Warriors,NBA,"$189,702",2019-20,1627733
5869,(may be incomplete),,"$15,274,956",Career,1627733
5870,Utah Jazz,NBA,"$1,500,000",2019-20,1628430
5871,(may be incomplete),,"$1,500,000",Career,1628430
5872,Atlanta Hawks,NBA,"$50,000",2016-17,1627856
5873,Memphis Grizzlies,NBA,"$31,500",2016-17,1627856
5874,San Antonio Spurs,NBA,< $Minimum,2017-18,1627856
5875,(may be incomplete),,"$81,500",Career,1627856
5876,Miami Heat,NBA,< $Minimum,2019-20,1629216
5877,(may be incomplete),,$0,Career,1629216
5878,Milwaukee Bucks,NBA,"$4,930,560",2014-15,203953
5879,Milwaukee Bucks,NBA,"$5,152,440",2015-16,203953
5880,Milwaukee Bucks,NBA,"$5,374,320",2016-17,203953
5881,Milwaukee Bucks,NBA,"$6,782,392",2017-18,203953
5882,Washington Wizards,NBA,"$20,000,000",2018-19,203953
5883,Sacramento Kings,NBA,"$6,500,000",2019-20,203953
5884,(may be incomplete),,"$48,739,712",Career,203953
5885,Memphis Grizzlies,NBA,"$3,093,333",2008-09,201188
5886,Memphis Grizzlies,NBA,"$3,240,000",2009-10,201188
5887,Memphis Grizzlies,NBA,"$3,480,000",2010-11,201188
5888,Memphis Grizzlies,NBA,"$12,922,194",2011-12,201188
5889,Memphis Grizzlies,NBA,"$13,891,359",2012-13,201188
5890,Memphis Grizzlies,NBA,"$14,860,523",2013-14,201188
5891,Memphis Grizzlies,NBA,"$15,829,688",2014-15,201188
5892,Memphis Grizzlies,NBA,"$19,700,000",2015-16,201188
5893,Memphis Grizzlies,NBA,"$21,165,675",2016-17,201188
5894,Memphis Grizzlies,NBA,"$22,642,350",2017-18,201188
5895,Toronto Raptors,NBA,"$24,119,025",2018-19,201188
5896,Toronto Raptors,NBA,"$25,595,700",2019-20,201188
5897,(may be incomplete),,"$180,539,847",Career,201188
5898,Utah Jazz,NBA,"$3,000,000",2015-16,202353
5899,Philadelphia 76ers,NBA,"$3,000,000",2016-17,202353
5900,Philadelphia 76ers,NBA,"$500,000",2017-18,202353
5901,(may be incomplete),,"$6,500,000",Career,202353
5902,Indiana Pacers,NBA,"$2,028,360",2017-18,1628388
5903,Indiana Pacers,NBA,"$2,407,560",2018-19,1628388
5904,Indiana Pacers,NBA,"$2,813,280",2019-20,1628388
5905,(may be incomplete),,"$7,249,200",Career,1628388
5906,Boston Celtics,NBA,"$100,000",2014-15,203513
5907,(may be incomplete),,"$100,000",Career,203513
5908,Memphis Grizzlies,NBA,"$199,185",2009-10,201991
5909,Boston Celtics,NBA,"$193,802",2009-10,201991
5910,Washington Wizards,NBA,"$192,791",2010-11,201991
5911,Los Angeles Clippers,NBA,"$55,774",2014-15,201991
5912,(may be incomplete),,"$641,552",Career,201991
5913,Chicago Bulls,NBA,"$349,458",2002-03,2427
5914,Toronto Raptors,NBA,"$563,679",2003-04,2427
5915,Toronto Raptors,NBA,"$203,428",2004-05,2427
5916,Washington Wizards,NBA,"$744,551",2006-07,2427
5917,Washington Wizards,NBA,"$798,328",2007-08,2427
5918,San Antonio Spurs,NBA,"$3,500,000",2008-09,2427
5919,San Antonio Spurs,NBA,"$3,780,000",2009-10,2427
5920,New York Knicks,NBA,"$1,400,000",2010-11,2427
5921,Washington Wizards,NBA,"$1,146,337",2011-12,2427
5922,New Orleans Hornets,NBA,"$1,223,116",2012-13,2427
5923,(may be incomplete),,"$13,708,897",Career,2427
5924,Indiana Pacers,NBA,"$1,859,160",2009-10,201946
5925,Indiana Pacers,NBA,"$1,998,600",2010-11,201946
5926,Indiana Pacers,NBA,"$2,138,040",2011-12,201946
5927,Indiana Pacers,NBA,"$3,055,259",2012-13,201946
5928,Toronto Raptors,NBA,"$3,183,000",2013-14,201946
5929,Toronto Raptors,NBA,"$3,326,235",2014-15,201946
5930,Charlotte Hornets,NBA,"$1,185,784",2015-16,201946
5931,(may be incomplete),,"$16,746,078",Career,201946
5932,Houston Rockets,NBA,"$64,978",2009-10,200839
5933,(may be incomplete),,"$64,978",Career,200839
5934,Miami Heat,NBA,"$507,336",2014-15,204020
5935,Miami Heat,NBA,"$845,059",2015-16,204020
5936,Miami Heat,NBA,"$5,628,000",2016-17,204020
5937,Miami Heat,NBA,"$5,881,260",2017-18,204020
5938,Phoenix Suns,NBA,"$19,245,370",2018-19,204020
5939,Phoenix Suns,NBA,"$19,245,370",2019-20,204020
5940,Brooklyn Nets,NBA,"$212,753",2019-20,204020
5941,(may be incomplete),,"$51,565,148",Career,204020
5942,Indiana Pacers,NBA,"$543,000",1998-99,1733
5943,Indiana Pacers,NBA,"$745,800",1999-00,1733
5944,Indiana Pacers,NBA,"$797,880",2000-01,1733
5945,Indiana Pacers,NBA,"$1,436,982",2001-02,1733
5946,Indiana Pacers,NBA,"$5,060,000",2002-03,1733
5947,Indiana Pacers,NBA,"$5,692,500",2003-04,1733
5948,Atlanta Hawks,NBA,"$6,325,000",2004-05,1733
5949,Atlanta Hawks,NBA,"$6,957,500",2005-06,1733
5950,Golden State Warriors,NBA,"$7,625,000",2006-07,1733
5951,Golden State Warriors,NBA,"$8,425,625",2007-08,1733
5952,New York Knicks,NBA,"$9,226,250",2008-09,1733
5953,New York Knicks,NBA,"$10,026,875",2009-10,1733
5954,Denver Nuggets,NBA,"$5,765,000",2010-11,1733
5955,Denver Nuggets,NBA,"$6,226,200",2011-12,1733
5956,Orlando Magic,NBA,"$6,687,400",2012-13,1733
5957,Orlando Magic,NBA,"$3,574,300",2013-14,1733
5958,Washington Wizards,NBA,"$1,399,507",2013-14,1733
5959,Orlando Magic,NBA,"$3,805,000",2014-15,1733
5960,(may be incomplete),,"$90,319,819",Career,1733
5961,Atlanta Hawks,NBA,"$122,237",2011-12,202388
5962,New Orleans Hornets,NBA,"$76,392",2011-12,202388
5963,Cleveland Cavaliers,NBA,"$251,076",2012-13,202388
5964,New Orleans Hornets,NBA,"$44,835",2012-13,202388
5965,Indiana Pacers,NBA,"$884,293",2013-14,202388
5966,Indiana Pacers,NBA,"$948,163",2014-15,202388
5967,Brooklyn Nets,NBA,"$1,015,421",2015-16,202388
5968,(may be incomplete),,"$3,342,417",Career,202388
5969,Oklahoma City Thunder,NBA,"$543,471",2016-17,203902
5970,(may be incomplete),,"$543,471",Career,203902
5971,Milwaukee Bucks,NBA,"$2,481,000",2018-19,1628978
5972,Milwaukee Bucks,NBA,"$2,905,800",2019-20,1628978
5973,(may be incomplete),,"$5,386,800",Career,1628978
5974,Denver Nuggets,NBA,"$288,171",2001-02,2365
5975,Denver Nuggets,NBA,"$512,435",2002-03,2365
5976,Denver Nuggets,NBA,"$638,679",2003-04,2365
5977,New Orleans Hornets,NBA,"$1,600,000",2004-05,2365
5978,New Orleans/Oklahoma City Hornets,NBA,"$3,500,000",2005-06,2365
5979,Denver Nuggets,NBA,"$998,398",2008-09,2365
5980,Denver Nuggets,NBA,"$3,650,000",2009-10,2365
5981,Denver Nuggets,NBA,"$4,533,300",2010-11,2365
5982,Denver Nuggets,NBA,"$4,234,000",2011-12,2365
5983,Denver Nuggets,NBA,"$4,526,000",2012-13,2365
5984,Miami Heat,NBA,"$699,952",2012-13,2365
5985,Miami Heat,NBA,"$1,399,507",2013-14,2365
5986,Miami Heat,NBA,"$5,375,000",2014-15,2365
5987,Memphis Grizzlies,NBA,"$5,000,000",2015-16,2365
5988,Charlotte Hornets,NBA,"$1,551,659",2016-17,2365
5989,(may be incomplete),,"$38,507,101",Career,2365
5990,Miami Heat,NBA,"$374,933",2016-17,1627855
5991,Atlanta Hawks,NBA,"$1,312,611",2017-18,1627855
5992,Cleveland Cavaliers,NBA,"$111,238",2017-18,1627855
5993,Washington Wizards,NBA,"$264,919",2018-19,1627855
5994,(may be incomplete),,"$2,063,701",Career,1627855
5995,Charlotte Bobcats,NBA,"$2,798,040",2011-12,202687
5996,Charlotte Bobcats,NBA,"$3,007,920",2012-13,202687
5997,Charlotte Bobcats,NBA,"$3,049,920",2013-14,202687
5998,Charlotte Hornets,NBA,"$3,873,398",2014-15,202687
5999,Toronto Raptors,NBA,"$3,000,000",2015-16,202687
6000,Orlando Magic,NBA,"$17,000,000",2016-17,202687
6001,Orlando Magic,NBA,"$17,000,000",2017-18,202687
6002,Charlotte Hornets,NBA,"$17,000,000",2018-19,202687
6003,Charlotte Hornets,NBA,"$17,000,000",2019-20,202687
6004,(may be incomplete),,"$83,729,278",Career,202687
6005,Boston Celtics,NBA,"$1,291,892",2017-18,1628400
6006,Boston Celtics,NBA,"$1,378,242",2018-19,1628400
6007,Boston Celtics,NBA,"$1,618,520",2019-20,1628400
6008,(may be incomplete),,"$4,288,654",Career,1628400
6009,Milwaukee Bucks,NBA,"$757,000",2008-09,201601
6010,Milwaukee Bucks,NBA,"$736,420",2009-10,201601
6011,Milwaukee Bucks,NBA,"$854,389",2010-11,201601
6012,Milwaukee Bucks,NBA,"$5,000,000",2011-12,201601
6013,Milwaukee Bucks,NBA,"$4,795,192",2012-13,201601
6014,Sacramento Kings,NBA,"$4,588,384",2013-14,201601
6015,Philadelphia 76ers,NBA,"$4,382,576",2014-15,201601
6016,Los Angeles Clippers,NBA,"$1,270,964",2015-16,201601
6017,Los Angeles Clippers,NBA,"$2,203,000",2016-17,201601
6018,Houston Rockets,NBA,"$1,471,382",2017-18,201601
6019,Los Angeles Clippers,NBA,"$4,320,500",2018-19,201601
6020,Houston Rockets,NBA,"$289,803",2019-20,201601
6021,(may be incomplete),,"$30,669,610",Career,201601
6022,Charlotte Hornets,NBA,"$3,206,640",2018-19,1628970
6023,Charlotte Hornets,NBA,"$3,755,400",2019-20,1628970
6024,(may be incomplete),,"$6,962,040",Career,1628970
6025,San Antonio Spurs,NBA,"$744,480",2001-02,2225
6026,San Antonio Spurs,NBA,"$800,400",2002-03,2225
6027,San Antonio Spurs,NBA,"$856,200",2003-04,2225
6028,San Antonio Spurs,NBA,"$1,545,441",2004-05,2225
6029,San Antonio Spurs,NBA,"$8,400,000",2005-06,2225
6030,San Antonio Spurs,NBA,"$9,450,000",2006-07,2225
6031,San Antonio Spurs,NBA,"$10,500,000",2007-08,2225
6032,San Antonio Spurs,NBA,"$11,550,000",2008-09,2225
6033,San Antonio Spurs,NBA,"$12,600,000",2009-10,2225
6034,San Antonio Spurs,NBA,"$13,500,000",2010-11,2225
6035,San Antonio Spurs,NBA,"$12,500,000",2011-12,2225
6036,San Antonio Spurs,NBA,"$12,500,000",2012-13,2225
6037,San Antonio Spurs,NBA,"$12,500,000",2013-14,2225
6038,San Antonio Spurs,NBA,"$12,500,000",2014-15,2225
6039,San Antonio Spurs,NBA,"$13,437,500",2015-16,2225
6040,San Antonio Spurs,NBA,"$14,445,313",2016-17,2225
6041,San Antonio Spurs,NBA,"$15,453,126",2017-18,2225
6042,Charlotte Hornets,NBA,"$5,000,000",2018-19,2225
6043,(may be incomplete),,"$168,282,460",Career,2225
6044,Brooklyn Nets,NBA,"$1,335,480",2015-16,1626178
6045,Brooklyn Nets,NBA,"$1,395,600",2016-17,1626178
6046,Brooklyn Nets,NBA,"$1,471,382",2017-18,1626178
6047,Brooklyn Nets,NBA,"$2,470,357",2018-19,1626178
6048,Toronto Raptors,NBA,"$2,500,000",2019-20,1626178
6049,(may be incomplete),,"$9,172,819",Career,1626178
6050,Portland Trail Blazers,NBA,"$4,027,320",2006-07,200746
6051,Portland Trail Blazers,NBA,"$4,329,360",2007-08,200746
6052,Portland Trail Blazers,NBA,"$4,631,400",2008-09,200746
6053,Portland Trail Blazers,NBA,"$5,844,827",2009-10,200746
6054,Portland Trail Blazers,NBA,"$11,244,000",2010-11,200746
6055,Portland Trail Blazers,NBA,"$12,372,000",2011-12,200746
6056,Portland Trail Blazers,NBA,"$13,500,000",2012-13,200746
6057,Portland Trail Blazers,NBA,"$14,128,000",2013-14,200746
6058,Portland Trail Blazers,NBA,"$16,006,000",2014-15,200746
6059,San Antonio Spurs,NBA,"$19,500,000",2015-16,200746
6060,San Antonio Spurs,NBA,"$20,575,005",2016-17,200746
6061,San Antonio Spurs,NBA,"$21,461,010",2017-18,200746
6062,San Antonio Spurs,NBA,"$22,347,015",2018-19,200746
6063,San Antonio Spurs,NBA,"$26,000,000",2019-20,200746
6064,(may be incomplete),,"$195,965,937",Career,200746
6065,Toronto Raptors,NBA,"$543,471",2016-17,1627832
6066,Toronto Raptors,NBA,"$1,312,611",2017-18,1627832
6067,Toronto Raptors,NBA,"$8,653,847",2018-19,1627832
6068,Toronto Raptors,NBA,"$9,346,153",2019-20,1627832
6069,(may be incomplete),,"$19,856,082",Career,1627832
6070,Sacramento Kings,NBA,"$695,046",2004-05,2440
6071,Philadelphia 76ers,NBA,"$552,269",2005-06,2440
6072,New York Knicks,NBA,"$131,593",2005-06,2440
6073,Golden State Warriors,NBA,"$771,331",2006-07,2440
6074,Golden State Warriors,NBA,"$3,000,000",2007-08,2440
6075,Phoenix Suns,NBA,"$926,678",2008-09,2440
6076,Orlando Magic,NBA,"$1,600,000",2009-10,2440
6077,Los Angeles Lakers,NBA,"$1,765,000",2010-11,2440
6078,Los Angeles Lakers,NBA,"$1,906,200",2011-12,2440
6079,Los Angeles Clippers,NBA,"$1,229,255",2012-13,2440
6080,Los Angeles Clippers,NBA,"$3,250,000",2013-14,2440
6081,Los Angeles Clippers,NBA,"$3,396,250",2014-15,2440
6082,Memphis Grizzlies,NBA,"$3,542,500",2015-16,2440
6083,Sacramento Kings,NBA,"$6,125,000",2016-17,2440
6084,Golden State Warriors,NBA,"$383,351",2016-17,2440
6085,Sacramento Kings,NBA,"$2,133,542",2017-18,2440
6086,Sacramento Kings,NBA,"$2,133,542",2018-19,2440
6087,Sacramento Kings,NBA,"$2,133,541",2019-20,2440
6088,(may be incomplete),,"$35,675,098",Career,2440
6089,Miami Heat,NBA,"$2,481,720",2015-16,1626159
6090,Miami Heat,NBA,"$2,593,440",2016-17,1626159
6091,Miami Heat,NBA,"$2,705,040",2017-18,1626159
6092,Miami Heat,NBA,"$3,448,926",2018-19,1626159
6093,Memphis Grizzlies,NBA,"$13,000,000",2019-20,1626159
6094,(may be incomplete),,"$24,229,126",Career,1626159
6095,Orlando Magic,NBA,< $Minimum,2017-18,1628503
6096,(may be incomplete),,$0,Career,1628503
6097,Detroit Pistons,NBA,"$838,464",2018-19,1629017
6098,Detroit Pistons,NBA,"$1,416,852",2019-20,1629017
6099,(may be incomplete),,"$2,255,316",Career,1629017
6100,Minnesota Timberwolves,NBA,"$5,813,640",2019-20,1629633
6101,(may be incomplete),,"$5,813,640",Career,1629633
6102,Miami Heat,NBA,"$1,035,960",2011-12,202708
6103,Miami Heat,NBA,"$1,082,520",2012-13,202708
6104,Miami Heat,NBA,"$1,129,200",2013-14,202708
6105,New Orleans Pelicans,NBA,"$2,038,206",2014-15,202708
6106,New Orleans Pelicans,NBA,"$3,036,927",2015-16,202708
6107,Oklahoma City Thunder,NBA,"$247,991",2016-17,202708
6108,(may be incomplete),,"$8,570,804",Career,202708
6109,Memphis Grizzlies,NBA,"$2,478,840",2019-20,1629634
6110,(may be incomplete),,"$2,478,840",Career,1629634
6111,Los Angeles Clippers,NBA,"$525,093",2015-16,1626183
6112,(may be incomplete),,"$525,093",Career,1626183
6113,New York Knicks,NBA,"$2,898,000",2016-17,1627851
6114,New York Knicks,NBA,"$3,025,035",2017-18,1627851
6115,(may be incomplete),,"$5,923,035",Career,1627851
6116,Golden State Warriors,NBA,"$898,310",2019-20,1629346
6117,(may be incomplete),,"$898,310",Career,1629346
6118,Indiana Pacers,NBA,< $Minimum,2017-18,1628500
6119,Indiana Pacers,NBA,"$160,096",2018-19,1628500
6120,San Antonio Spurs,NBA,< $Minimum,2018-19,1628500
6121,(may be incomplete),,"$160,096",Career,1628500
6122,Philadelphia 76ers,NBA,"$884,879",2014-15,203924
6123,Philadelphia 76ers,NBA,"$845,059",2015-16,203924
6124,Oklahoma City Thunder,NBA,"$980,431",2016-17,203924
6125,Oklahoma City Thunder,NBA,"$1,524,305",2017-18,203924
6126,Oklahoma City Thunder,NBA,"$8,653,847",2018-19,203924
6127,Denver Nuggets,NBA,"$9,346,153",2019-20,203924
6128,(may be incomplete),,"$22,234,674",Career,203924
6129,San Antonio Spurs,NBA,"$401,170",2012-13,203382
6130,San Antonio Spurs,NBA,"$788,872",2013-14,203382
6131,San Antonio Spurs,NBA,"$2,077,000",2014-15,203382
6132,Detroit Pistons,NBA,"$6,500,000",2015-16,203382
6133,Detroit Pistons,NBA,"$6,500,000",2016-17,203382
6134,Boston Celtics,NBA,"$4,328,000",2017-18,203382
6135,Boston Celtics,NBA,"$5,193,600",2018-19,203382
6136,Phoenix Suns,NBA,"$5,453,280",2019-20,203382
6137,(may be incomplete),,"$31,241,922",Career,203382
6138,Indiana Pacers,NBA,"$1,100,000",2014-15,204014
6139,Minnesota Timberwolves,NBA,"$1,149,500",2015-16,204014
6140,Orlando Magic,NBA,"$980,431",2016-17,204014
6141,(may be incomplete),,"$3,229,931",Career,204014
6142,Memphis Grizzlies,NBA,< $Minimum,2017-18,1628424
6143,Cleveland Cavaliers,NBA,"$76,236",2018-19,1628424
6144,Charlotte Hornets,NBA,< $Minimum,2019-20,1628424
6145,(may be incomplete),,"$76,236",Career,1628424
6146,New York Knicks,NBA,"$235,762",2014-15,204038
6147,New York Knicks,NBA,"$845,059",2015-16,204038
6148,Sacramento Kings,NBA,"$5,200,000",2016-17,204038
6149,Detroit Pistons,NBA,"$6,666,667",2017-18,204038
6150,Detroit Pistons,NBA,"$7,000,000",2018-19,204038
6151,Detroit Pistons,NBA,"$7,333,333",2019-20,204038
6152,(may be incomplete),,"$27,280,821",Career,204038
6153,Minnesota Timberwolves,NBA,"$1,622,000",1995-96,708
6154,Minnesota Timberwolves,NBA,"$1,666,000",1996-97,708
6155,Minnesota Timberwolves,NBA,"$2,109,120",1997-98,708
6156,Minnesota Timberwolves,NBA,"$14,000,000",1998-99,708
6157,Minnesota Timberwolves,NBA,"$16,806,300",1999-00,708
6158,Minnesota Timberwolves,NBA,"$19,610,000",2000-01,708
6159,Minnesota Timberwolves,NBA,"$22,400,000",2001-02,708
6160,Minnesota Timberwolves,NBA,"$25,200,000",2002-03,708
6161,Minnesota Timberwolves,NBA,"$28,000,000",2003-04,708
6162,Minnesota Timberwolves,NBA,"$16,000,000",2004-05,708
6163,Minnesota Timberwolves,NBA,"$18,000,000",2005-06,708
6164,Minnesota Timberwolves,NBA,"$21,000,000",2006-07,708
6165,Boston Celtics,NBA,"$23,750,000",2007-08,708
6166,Boston Celtics,NBA,"$24,751,934",2008-09,708
6167,Boston Celtics,NBA,"$16,400,000",2009-10,708
6168,Boston Celtics,NBA,"$18,800,000",2010-11,708
6169,Boston Celtics,NBA,"$21,247,044",2011-12,708
6170,Boston Celtics,NBA,"$11,566,265",2012-13,708
6171,Brooklyn Nets,NBA,"$12,443,735",2013-14,708
6172,Minnesota Timberwolves,NBA,"$12,000,000",2014-15,708
6173,Minnesota Timberwolves,NBA,"$8,500,000",2015-16,708
6174,Minnesota Timberwolves,NBA,"$8,000,000",2016-17,708
6175,(may be incomplete),,"$343,872,398",Career,708
6176,Los Angeles Clippers,NBA,"$1,109,760",2014-15,203912
6177,Los Angeles Clippers,NBA,"$1,159,680",2015-16,203912
6178,Orlando Magic,NBA,"$1,209,680",2016-17,203912
6179,Portland Trail Blazers,NBA,< $Minimum,2017-18,203912
6180,(may be incomplete),,"$3,479,120",Career,203912
6181,Boston Celtics,NBA,"$428,762",2005-06,101155
6182,Boston Celtics,NBA,"$664,209",2006-07,101155
6183,Minnesota Timberwolves,NBA,"$770,610",2007-08,101155
6184,Minnesota Timberwolves,NBA,"$3,650,000",2008-09,101155
6185,Minnesota Timberwolves,NBA,"$3,867,500",2009-10,101155
6186,Los Angeles Clippers,NBA,"$4,000,000",2010-11,101155
6187,Los Angeles Clippers,NBA,"$4,000,000",2011-12,101155
6188,Los Angeles Clippers,NBA,"$4,000,000",2012-13,101155
6189,Oklahoma City Thunder,NBA,"$1,186,459",2013-14,101155
6190,(may be incomplete),,"$22,567,540",Career,101155
6191,San Antonio Spurs,NBA,"$75,000",2016-17,1627853
6192,Chicago Bulls,NBA,< $Minimum,2017-18,1627853
6193,Chicago Bulls,NBA,"$1,349,383",2018-19,1627853
6194,Chicago Bulls,NBA,"$3,000,000",2019-20,1627853
6195,(may be incomplete),,"$4,424,383",Career,1627853
6196,Boston Celtics,NBA,"$1,674,480",2014-15,203923
6197,Boston Celtics,NBA,"$1,749,840",2015-16,203923
6198,Boston Celtics,NBA,"$1,825,200",2016-17,203923
6199,Philadelphia 76ers,NBA,< $Minimum,2017-18,203923
6200,(may be incomplete),,"$5,249,520",Career,203923
6201,Phoenix Suns,NBA,"$267,160",2017-18,1627885
6202,Chicago Bulls,NBA,"$1,311,265",2018-19,1627885
6203,Phoenix Suns,NBA,"$50,000",2018-19,1627885
6204,Chicago Bulls,NBA,"$898,310",2019-20,1627885
6205,(may be incomplete),,"$2,526,735",Career,1627885
6206,Indiana Pacers,NBA,"$550,000",2012-13,203111
6207,Indiana Pacers,NBA,"$788,872",2013-14,203111
6208,New Orleans Pelicans,NBA,"$55,722",2015-16,203111
6209,Phoenix Suns,NBA,"$55,722",2015-16,203111
6210,(may be incomplete),,"$1,450,316",Career,203111
6211,Philadelphia 76ers,NBA,"$297,311",2016-17,1626184
6212,New York Knicks,NBA,"$243,860",2016-17,1626184
6213,Washington Wizards,NBA,"$991,072",2018-19,1626184
6214,Golden State Warriors,NBA,"$91,557",2019-20,1626184
6215,(may be incomplete),,"$1,623,800",Career,1626184
6216,Los Angeles Clippers,NBA,"$550,000",2008-09,201599
6217,Los Angeles Clippers,NBA,"$736,420",2009-10,201599
6218,Los Angeles Clippers,NBA,"$854,389",2010-11,201599
6219,Los Angeles Clippers,NBA,"$10,079,404",2011-12,201599
6220,Los Angeles Clippers,NBA,"$10,532,977",2012-13,201599
6221,Los Angeles Clippers,NBA,"$10,986,550",2013-14,201599
6222,Los Angeles Clippers,NBA,"$11,440,124",2014-15,201599
6223,Los Angeles Clippers,NBA,"$19,500,000",2015-16,201599
6224,Los Angeles Clippers,NBA,"$21,165,675",2016-17,201599
